front,back
involved,"zaangażowany, wciągnięty, zawiły"
sometimes,czasami
legal,"prawny, prawowity, legalny, sądowy"
length,"długość, odległość, czas trwania"
approach,"podejście, zbliżać się, podchodzić"
associated,"związany, powiązany"
civil,"obywatelski, cywilny"
movement,"ruch, nurt, prąd, poruszenie, poruszać się"
disease,choroba
miles,mile
relations,"relacje, stosunki"
funds,"środki, fundusze"
cells,komórki
army,"armia, wojsko, wojskowy"
relationship,"związek, powiązanie, stosunek, relacja"
charge,"opłata, zarzut, oskarżenie, natarcie, ładować, obciążać"
extent,"stopień, zakres, zasięg, rozpiętość"
flow,"przepływ, prąd, płynąć, krążyć"
supply,"podaż, zaopatrzenie, dostawa, dostarczać"
protection,ochrona
throughout,"przez cały, wszędzie"
institute,instytut
unless,"chyba że, o ile, nie"
capacity,"pojemność, objętość, zdolność, wydajność, przepustowość, zdolność prawna"
judgment,"pogląd, opinia, wyrok, orzeczenie, ocena"
observed,"zaobserwowany, obserwować"
former,"były, dawny, poprzedni"
engineering,"inżynieria, inżynieryjny"
demand,"wymaganie, żądanie, roszczenie, popyt, zapotrzebowanie, wymagać, żądać, domagać się"
risk,"ryzyko, zagrożenie, ryzykować"
directly,bezpośrednio
standards,"standardy, normy"
steel,"stal, stalowy"
safety,"bezpieczeństwo, poczucie bezpieczeństwa"
previous,"poprzedni, przedwczesny"
entire,"cały, kompletny, całkowity, pełny"
justice,"sprawiedliwość, wymiar sprawiedliwości, sędzia"
rest,"odpoczynek, reszta, pauza, odpoczywać, opierać się, podpierać się"
agricultural,"rolny, rolniczy"
duty,"obowiązek, cło, opłata, służba, dyżur"
prepared,"przygotowany, przygotować"
equal,"równy, jednakowy, równać się"
assistance,"pomoc, wsparcie, ratunek"
otherwise,"inaczej, w przeciwnym razie, poza tym"
status,"status, prestiż"
presence,"obecność, prezencja"
regulations,"przepisy, regulaminy"
defined,"zdefiniowany, określony"
benefits,"korzyści, świadczenia, zalety, korzystać"
concerned,"zaniepokojony, zainteresowany"
elements,"elementy, składniki"
active,"aktywny, czynny, operatywny, promieniotwórczy, radioaktywny"
consideration,"przemyślenie, rozważanie, uwaga, wzgląd"
failure,"niepowodzenie, porażka, zaniedbanie, niewydolność, defekt"
maximum,"maksimum, maksymalny"
environmental,"środowiskowy, ekologiczny, dotyczący środowiska"
aid,"pomoc, pomagać, wspomagać, wspierać"
connection,"połączenie, przesiadka, koneksja, znajomość, związek, skojarzenie"
literature,literatura
independent,"niezależny, niepodległy, suwerenny, neutralny, bezpartyjny"
sufficient,"wystarczający, dostateczny, wystarczalny"
upper,"górny, wyższy, wierzchni"
reduced,"zmniejszony, zredukowany"
iron,"żelazo, żelazko, prasować"
complex,"kompleks, zespół, skomplikowany, złożony, zawiły"
relative,"krewny, krewna, względny, pokrewny, odnosić się"
chemical,"chemiczny, substancja chemiczna"
coal,węgiel
southern,południowy
immediately,"natychmiast, niezwłocznie, od razu"
distance,odległość
bureau,"biuro, agencja, biurko, wydział"
commercial,"komercyjny, handlowy, reklama"
progress,"postęp, czynić postępy"
measures,"środki, miary, mierzyć"
economy,"gospodarka, ekonomia, oszczędność"
positive,"pozytywny, dodatni, korzystny, pewien"
religious,"religijny, zakonnik, zakonnica"
access,"dostęp, dojście, prawo"
transportation,"transport, przewóz"
internal,wewnętrzny
cultural,"kulturalny, kulturowy"
historical,"historyczny, dawny"
balance,"bilans, równowaga, balansować, wyrównywać"
defense,"obrona, defensywa, osłona"
content,"treść, zawartość, objętość, istota"
hearing,"słuch, posłuch, rozprawa, przesłuchanie"
examination,"badanie, egzamin, kontrola"
approximately,"około, w przybliżeniu"
introduction,"wprowadzenie, przedmowa"
minimum,"minimum, minimalny"
motor,"silnik, motoryzacyjny"
critical,"krytyczny, istotny, kluczowy"
agriculture,rolnictwo
selected,"wybrany, selekcjonowany"
occur,"występować, zdarzać się"
spirit,"duch, nastrój, spirytus"
regional,regionalny
serious,"poważny, znaczący"
features,"cechy, funkcje, elementy"
none,"żaden, nic, nikt"
considerable,"znaczny, pokaźny"
maintenance,"utrzymanie, konserwacja"
professor,profesor
principles,"zasady, fundamentalne reguły"
judge,"sędzia, oceniać, rozstrzygać"
characteristics,"charakterystyka, cechy"
majority,większość
approved,"zatwierdzony, zaakceptowany"
essential,"niezbędny, zasadniczy"
reduction,"redukcja, obniżenie"
proceedings,"postępowania, obrady"
northern,północny
highly,"wysoce, bardzo"
object,"przedmiot, obiekt, sprzeciwiać się"
grant,"dotacja, grant, przyznać"
rise,"wzrastać, wschodzić, wzrost"
located,"zlokalizowany, położony"
teaching,"nauczanie, dydaktyka"
reasonable,"rozsądny, sensowny, umiarkowany"
responsible,odpowiedzialny
practical,"praktyczny, nadający się do praktycznego zastosowania"
firm,"firma, przedsiębiorstwo, solidny, stanowczy, twardy"
instance,"instancja, egzemplarz, sytuacja, przypadek, przykład"
relatively,"stosunkowo, względnie"
expenses,"wydatki, koszty"
frequency,"częstotliwość, częstość, częstotliwościowy"
responsibility,"odpowiedzialność, obowiązek"
variety,"zróżnicowanie, różnorodność, rozmaitość, szeroki wybór, rodzaj, gatunek, odmiana językowa, odmiana mowy"
contains,"zawierać, zawiera"
appeal,"apelacja, apel, wezwanie, odezwa, zew, urok, apelować, zaapelować, wzywać, zaskarżyć, pociągać"
treated,"leczony, traktowany, poczęstowany"
containing,zawierający
nuclear,"jądrowy, nuklearny"
existence,"istnienie, egzystencja, byt, życie"
christian,"chrześcijanin, chrześcijanka, chrześcijański"
location,"lokalizacja, umiejscowienie, położenie, miejsce"
election,wybory
eastern,wschodni
foundation,"fundacja, ufundowanie, fundament, podkład"
network,sieć
investigation,"śledztwo, badanie, dociekanie"
mental,"psychiczny, umysłowy, mentalny, stuknięty"
laboratory,"laboratorium, pracownia, laboratoryjny"
determination,"determinacja, ustalenie, określenie"
pattern,"wzór, wykrój, szablon"
concept,"pojęcie, koncepcja"
fuel,"paliwo, opał, napęd, napędzać, podsycać"
completely,"całkowicie, absolutnie, gruntownie, doszczętnie"
merely,"tylko, jedynie"
improvement,"poprawa, polepszenie, udoskonalenie, ulepszenie, usprawnienie"
representative,"przedstawiciel, przedstawicielka, reprezentant, reprezentantka, kongresman, kongresmenka, reprezentatywny, przedstawicielski, reprezentacyjny, charakterystyczny"
intended,"przeznaczony, zamierzony, planowany"
techniques,"technika, metoda, techniki"
appointed,"mianowany, powołany, desygnowany"
forth,"naprzód, dalej, z ukrycia"
bonds,"obligacje, więzi, spoiwa"
maintain,"utrzymywać, podtrzymywać, twierdzić, zachowywać"
entirely,"całkowicie, kompletnie, zupełnie"
frequently,często
vice,"imadło, zastępca, wada"
constitution,"konstytucja, ustrój, budowa ciała"
comparison,"porównanie, stopniowanie"
aspects,aspekty
despite,"mimo, pomimo, niezależnie od"
removed,"usunięty, odseparowany"
ordinary,"zwykły, zwyczajny, przeciętny"
concentration,"koncentracja, skupienie, stężenie"
relating,"odnoszący się, dotyczący"
railroad,"kolej, linia kolejowa"
affected,"dotknięty, poruszony, afektowany"
alternative,"alternatywa, alternatywny"
assets,"aktywa, majątek, zasoby"
governor,"gubernator, zarządca, członek zarządu, naczelnik więzienia"
pain,"ból, utrapienie, męka, trud, sprawiać ból"
processing,"przetwarzanie, przetwórstwo, przerób"
storage,"przechowywanie, magazynowanie, magazyn, pamięć"
assistant,"asystent, asystentka, pomocnik, pomocnica, zastępca, pomocniczy"
worth,"wartość, wartościowość, użyteczność, wart, zasługiwać na"
definition,definicja
conclusion,"konkluzja, wniosek"
damage,"uszkodzenie, szkoda, odszkodowanie, uszkadzać, szkodzić, niszczyć"
slightly,"lekko, nieco, trochę"
absence,"nieobecność, brak"
permit,"pozwolenie, przepustka, pozwalać"
limit,"granica, limit, ograniczenie, ograniczać"
transport,"transport, transportowy, transportować, przewozić"
respectively,odpowiednio
railway,kolej
connected,"połączony, powiązany, związany"
waste,"odpad, odpady, marnotrawstwo, strata, marnować, marnotrawić, niszczyć, bezwartościowy, odpadowy"
conducted,"przeprowadzony, prowadzony"
session,"sesja, posiedzenie"
experiments,"eksperymenty, doświadczenia"
selection,"selekcja, wybór"
opening,"otwarcie, początek, inauguracja, oferta pracy, debiut, otwarty, początkowy, przestrzeń, dziura"
extended,"rozszerzony, przedłużony, rozbudowany"
stress,"stres, presja, nacisk, naprężenie, akcent, podkreślenie, obciążać, akcentować, podkreślać"
guide,"przewodnik, przewodniczka, oprowadzać, wskazówka, instrukcja"
occurs,"występować, zdarzać się, pojawiać się"
religion,religia
marked,"oznaczony, wyraźny, znaczący, wyróżniony, naznaczony"
politics,polityka
permanent,"stały, trwały, stabilny, nieprzerwany, ciągły, wieczny"
broad,"szeroki, ogólny, rozległy"
debt,dług
please,"prosić, sprawiać przyjemność, zadowalać, dogadzać"
lay,"kłaść, położyć, znosić, laicki, laik"
race,"wyścig, rasa, ścigać się, zgłaszać się do"
sex,"płeć, seks"
reserve,"rezerwa, zapas, rezerwat, rezerwować, zastrzeżenie, zachować, odraczać, odkładać, powściągliwość"
sort,"rodzaj, typ, gatunek, klasyfikować, sortować, porządkować, segregować"
van,"furgonetka, samochód dostawczy"
skin,"skóra, skórka, karnacja, osłona, obdzierać, usuwać naskórek"
season,"sezon, pora roku, seria, przyprawiać"
combination,"kombinacja, połączenie, mieszanka"
recognized,"rozpoznany, uznany"
gain,"zyskiwać, zyskać, zdobywać, zdobyć, osiągać, osiągnąć, zysk, korzyść, zdobycz, przyrost, wzrost, wzmocnienie"
largely,"w dużej mierze, przeważnie"
port,"port, przystań, port morski, port lotniczy, otwór, szczelina, brama, burta, wino portowe"
mexico,Meksyk
conflict,"konflikt, spór, zatarg, sprzeczność, walka, kolidować"
engaged,zaręczony
origin,"pochodzenie, początek, źródło, geneza"
solid,"solidny, stały, ciało stałe, bryła"
numerous,liczny
vehicle,pojazd
substantial,"istotny, pokaźny, znaczny"
preparation,"przygotowanie, przygotowania, preparacja, przygotowywać"
command,"polecenie, komenda, rozkaz, kierownictwo, dowództwo, rozkazywać, kontrolować"
joint,"staw, połączenie, złącze, spęcie, joint, skręt"
efficiency,"skuteczność, wydajność, sprawność"
possibility,możliwość
republic,republika
documents,dokumenty
combined,"połączony, złożony, łączny"
derived,"pochodny, wyprowadzony"
establishment,"ustalenie, ustanowienie, kierownictwo, zakład, placówka, elita"
composition,"kompozycja, utwór, układ, skład"
signal,"sygnał, zapowiedź, sygnalizować, zapowiadać"
electrical,elektryczny
depth,"głębokość, głębia"
brief,"krótki, zwięzły, streszczenie, skrót, streścić"
entry,"wpis, zgłoszenie, odprawa, wejście, zapis, hasło"
edge,"krawędź, brzeg"
global,"globalny, całościowy, światowy"
injury,"zranienie, obrażenie, uraz"
consumption,"konsumpcja, spożycie, zużycie"
immediate,"natychmiastowy, bezpośredni"
bound,"związany, zobowiązany, granica"
properly,"właściwie, poprawnie, odpowiednio"
inches,cale
laid,"położyć, ułożyć"
moreover,"ponadto, oprócz tego, poza tym"
edition,"wydanie, edycja, redagowanie"
excess,"nadmiar, nadwyżka, nadpłata, nadmierny, dodatkowy"
fall,"jesień, upadek, spadać, upadać, opadać"
reality,rzeczywistość
quantity,"ilość, wielkość"
layer,warstwa
proof,"dowód, próba, test, korekta, odbitka próbna, odporny, stopień zawartości alkoholu, impregnacja"
assumed,"przyjęty, domniemany, przypuszczalny"
liquid,"ciecz, ciekły, płynny"
affect,"wpływać, oddziaływać, wywoływać, wzruszać, poruszać, afekt"
typical,"typowy, charakterystyczny"
cancer,"rak, nowotwór złośliwy"
dependent,"zależny, uzależniony, uwarunkowany, podrzędny, osoba zależna"
instruction,"instrukcja, polecenie, dyrektywa, przepis, wskazówka, instruktaż"
findings,"wyniki, ustalenia, odkrycia, spostrzeżenia"
mechanical,"mechaniczny, bezwiedny, automatyczny"
proportion,"stosunek, proporcja, odsetek"
recommended,"zalecany, polecany, polecać, zalecać"
engine,"silnik, motor, lokomotywa, aparat, napęd"
channel,"kanał, koryto, telewizyjny, kierować, kanalizować"
primarily,"głównie, przede wszystkim"
consumer,"konsument, klient, nabywca, odbiorca"
philosophy,"filozofia, światopogląd"
pounds,"funt, funty"
settlement,"ugoda, porozumienie, osada, rozstrzygnięcie, rozliczenie, zasiedlenie, osadnictwo"
desire,"ochota, chęć, pragnienie, pożądanie, pragnąć, pożądać"
cotton,"bawełna, bawełniany"
marine,"morski, marynarski"
proved,"udowodniony, dowiedziony, udowodnić, dowieść"
delivery,"dostarczanie, dostawa, doręczenie, poród"
closely,"dokładnie, z bliska, blisko"
mission,"misja, zadanie"
anti,"przeciw, anty"
aware,"świadomy, poinformowany, powiadomiony"
approval,"akceptacja, zgoda, pochwała, zatwierdzenie"
monthly,"miesięcznik, miesięczny, comiesięczny, co miesiąc"
continuous,"ciągły, ustawiczny"
device,"urządzenie, przyrząd"
rapid,"szybki, gwałtowny, wartki"
minor,"drobny, pomniejszy, drugorzędny, nieletni, małoletni, molowy"
ensure,"zapewnić, zagwarantować, zadbać o"
contribution,"wkład, zasługa, datek, składka"
protect,"chronić, zabezpieczać, udzielać ochrony"
observations,"obserwacje, spostrzeżenia"
electronic,"elektroniczny, elektronowy"
recovery,"powrót do zdrowia, wyzdrowienie, odzyskanie"
leadership,"przywództwo, kierownictwo, przewodzenie"
identity,tożsamość
severe,"srogi, surowy, dotkliwy, groźny"
rapidly,"szybko, gwałtownie"
calculated,"przemyślany, wyrachowany, obliczony"
membership,członkostwo
career,"kariera, zawód"
pure,"czysty, nieskażony, kompletny"
apparent,"oczywisty, widoczny, pozorny"
formal,"formalny, oficjalny"
battle,"bitwa, walka, walczyć"
soul,"dusza, życie, wigor"
examined,"zbadano, przeanalizowano, sprawdzono"
sand,"piasek, pustynia"
measurements,"pomiary, wyniki pomiarów"
academic,"akademicki, uniwersytecki, naukowy"
nevertheless,"niemniej jednak, mimo to"
radiation,"promieniowanie, radiacja"
crop,"plon, uprawa, przycinać"
possession,"własność, posiadłość, posiadanie"
avenue,aleja
height,"wysokość, wzrost, szczyt, wyżyna"
cycle,"cykl, obieg, okres, seria"
obvious,"oczywisty, wyraźny, ewidentny, jawny"
sheet,"prześcieradło, kartka, arkusz"
proposal,"propozycja, wniosek, oświadczyny"
suddenly,nagle
vessels,"naczynie, okręt, statek, naczynie krwionośne"
superior,"przełożony, zwierzchnik, lepszy, wyższy, górny, pierwszorzędny, wyniosły"
mixed,"mieszany, zmieszany, przemieszany, wymieszany"
inspection,"inspekcja, kontrola"
conservation,"ochrona, rezerwat, konserwacja"
spanish,"hiszpański, Hiszpan, Hiszpanka"
democratic,demokratyczny
emphasis,"nacisk, podkreślenie, emfaza"
assigned,"przydzielony, przypisany, zlecony"
capable,"zdolny, uzdolniony, sposobny"
deposits,"depozyt, osad, złoże, deponować"
round,"okrągły, runda, kolejka, nabój, okrążać, zaokrąglać, wokół, dookoła"
decrease,"zmniejszanie, zmniejszać"
equally,"równo, jednakowo, podobnie, w równym stopniu, jednocześnie"
tissue,"chusteczka, tkanka"
secure,"pewny, bezpieczny, zabezpieczyć, umocować, zapewnić"
valuable,"wartościowy, cenny, kosztowny"
acquired,nabyty
scope,"zakres, zasięg, mikroskop, teleskop, endoskop"
significance,"znaczenie, ważność, istotność, waga"
criteria,"kryterium, kryteria"
revised,"zrewidowany, poprawiony, skorygowany"
fifth,piąty
plus,"plus, znak plus, dodatni, oprócz, dodatkowo"
diameter,średnica
vision,"wizja, widzenie, obraz, objawienie, proroctwo, zjawa, wzrok"
steam,"para, parować, gotować na parze"
delivered,"dostarczony ,dostarczać, dostarczyć, wygłaszać, odebrać poród"
enemy,"wróg, nieprzyjaciel, przeciwnik, nieprzyjacielski"
unable,"niezdolny, nie móc, nie być w stanie"
interaction,"oddziaływanie, interakcja"
unique,"unikat, unikatowy, wyjątkowy, niepowtarzalny"
via,"przez, poprzez"
efficient,"wydajny, efektywny, produktywny, sprawny"
curve,"krzywa, łuk, zakrzywienie, zakręt, krzywić, wyginać, zaokrąglać"
denied,"odmówić, odmawiać, zaprzeczyć, odrzucony"
angle,"kąt, róg, punkt widzenia, perspektywa"
economics,"ekonomia, ekonomika"
distributed,"dystrybuować, rozdzielać, rozprowadzać, rozdzielony, rozłożony"
organic,"organiczny, ekologiczny"
comments,"komentarz, uwaga, komentarze"
temporary,"tymczasowy, przejściowy, chwilowy"
sequence,"kolejność, następstwo, sekwencja, ciąg"
experienced,doświadczony
category,kategoria
declared,"zadeklarowany, oświadczyć, deklarować"
currently,"obecnie, aktualnie"
violence,"przemoc, gwałtowność"
suppose,"przypuszczać, zakładać, sądzić"
boundary,granica
confidence,"zaufanie, pewność siebie, przeświadczenie"
stream,"strumień, potok, płynąć, napływać, strumień danych"
parameters,"parametr, parametry"
belief,"wiara, przekonanie, wyznanie"
contrary,"przeciwny, sprzeczny, przeciwieństwo, przeciwnie"
eventually,"ostatecznie, w końcu, docelowo"
opposition,"opozycja, sprzeciw, opór"
arrangement,"aranżacja, ustawienie, układ, ułożenie, zestaw, porozumienie, umowa, ustalenie"
absolute,"absolutny, bezwarunkowy, bezwzględny, całkowity, absolut"
objectives,cele
crisis,kryzys
narrow,"wąski, ciasny, ograniczony, wąskotorowy, zwężać, zwężać się, kurczyć się, mrużyć"
household,"gospodarstwo domowe, domownik, służba, rodzina, domowy, gospodarczy"
alcohol,alkohol
registered,"zarejestrowany, rejestrować"
oxygen,tlen
literary,literacki
pipe,"rura, fajka, przewód, fajka do palenia, gwizdek bosmański"
committed,"zaangażowany, oddany"
electron,elektron
holy,święty
behalf,w imieniu
concluded,"zakończyć, zakończony, wnioskować, wywnioskować"
wire,"drut, kabel, przewód, telegram, depesza, podsłuch, wysyłać, podłączać"
obviously,"oczywiście, widocznie, wyraźnie, najwyraźniej"
tend,"mieć skłonność do, skłaniać się ku, opiekować się, doglądać, zmierzać"
flat,"mieszkanie, lokal, płaski, równina, bemol"
visual,"wizualny, wzrokowy"
symptoms,"objaw, symptom"
constructed,"zbudowany, skonstruowany, konstruować"
plain,"równina, płaszczyzna, prosty, zwyczajny, po prostu"
mutual,"wzajemny, obopólny, wspólny"
aside,"na bok, uwaga, wtrącenie"
mere,"zwykły, zwyczajny, nieznaczny, niewielki, sam, czysty, jedynie"
similarly,"podobnie, analogicznie"
demonstrated,"demonstrować, zademonstrować, zademonstrowany"
limitations,"ograniczenia, ograniczenie"
ocean,ocean
spiritual,"duchowy, religijny"
exposed,"odsłonięty, narażony, wyeksponowany"
refused,"odmówić, odrzucić"
registration,"rejestrowanie, zapis, rejestracja"
rare,"rzadki, rzadko, rozrzedzony, krwisty, niepospolity"
onto,na
induced,"wywołać, spowodować, skłonić, indukować, wywołany, spowodowany"
empire,"cesarstwo, imperium"
abstract,"abstrakt, streszczenie, streszczać, abstrakcyjny, oderwany"
formula,"formuła, wzór, recepta"
composed,"opanowany, złożony, skomponowany, komponować"
arranged,"umówiony, zaaranżowany, ułożony, aranżować"
normally,"zwykle, normalnie"
consequently,"w konsekwencji, w rezultacie"
occasion,"okazja, wydarzenie, powód"
besides,"oprócz, poza, ponadto, poza tym"
cattle,"bydło, żywy inwentarz, zwierzęta gospodarskie, inwentarz, majątek ruchomy"
furthermore,"ponadto, na dodatek, poza tym"
probability,prawdopodobieństwo
commonly,"powszechnie, zazwyczaj, zwykle"
modified,"zmodyfikowany, przerobiony, modyfikować"
italian,"włoski, Włoch, Włoszka"
infection,infekcja
accurate,dokładny
extreme,"skrajny, ekstremalny, skraj, ekstremum"
incorporated,"rejestrowy ,zarejestrowany, spółka akcyjna, włączony, zintegrowany"
option,"opcja, wybór, możliwość"
settled,"ustalony, osiedlić się, załatwić, uregulować"
compounds,"związki chemiczne, kompleksy"
mineral,"minerał, mineralny"
involves,"zawierać, obejmować, wiązać się z, angażować"
bulletin,"biuletyn, komunikat"
qualified,"kwalifikowany, wykwalifikowany, dyplomowany, kompetentny, ograniczony, warunkowy, z zastrzeżeniem, upoważniony do"
stable,"stabilny, stajnia"
funding,"fundowanie, finansowanie"
announced,"ogłoszony, zapowiedziany, ogłaszać, zapowiadać"
evident,"ewidentny, widoczny, oczywisty"
proceeding,"postępowanie, posiedzenie, przebieg, kontynuowanie"
unemployment,bezrobocie
psychological,psychologiczny
enable,"umożliwiać, upoważniać, włączyć, aktywować, uruchamiać"
partial,"częściowy, fragmentaryczny, niekompletny, stronniczy"
academy,"akademia, szkoła wyższa"
chemistry,"chemia, chemia między ludźmi"
sharp,"ostry, nagły, wyraźny, krytyczny, pikantny, gryzący, błyskotliwy, nuta podwyższona o pół tonu"
burden,"ciężar, brzemię, ładunek, obarczać, obciążać, uciemiężać"
poetry,poezja
naturally,"naturalnie, oczywiście, z natury, zwyczajnie"
copyright,"prawo autorskie, zastrzegać"
outstanding,"wybitny, znakomity, wyróżniający się, zaległy, nieuregulowany"
separation,"rozdzielenie, oddzielenie, rozstanie, rozłąka, separacja"
gentleman,"pan, dżentelmen"
customs,"cło, opłata celna, odprawa celna, urząd celny, służba celna, zwyczaje"
occupied,"zajęty, okupowany, zaludniony, obsadzony"
physics,fizyka
accompanied,"towarzyszyć, towarzyszący, w towarzystwie"
atlantic,"Atlantyk, atlantycki"
outer,zewnętrzny
tendency,"skłonność, tendencja"
whenever,"kiedy, tylko, kiedykolwiek"
constitute,"stanowić, tworzyć, ustanawiać, konstytuować, składać się na"
monitoring,"monitoring, monitorowanie, nadzór, kontrola"
atmosphere,"atmosfera, sfera, aura, nastrój"
fax,"faks, telefaks, faksować, przefaksować"
distinction,"rozróżnienie, różnica, wyróżnienie, odznaka, dystynkcja, odznaczenie"
climate,"klimat, strefa, region, kontekst, sytuacja"
intention,"zamiar, intencja"
league,liga
assist,"pomagać, asystować"
participants,"uczestnik, uczestnicy"
border,"granica, skraj, obwódka, lamówka, bordiura, graniczny, przygraniczny, obramować, okalać"
remarks,"uwagi, komentarze, spostrzeżenia"
struggle,"zmagać się, walczyć, bić się, borykać się, dążyć, usiłować, walka, bój, zmaganie, szarpanina"
democracy,"demokracja, ludowładztwo, demokratyczny"
muscle,mięsień
competitive,"konkurencyjny, współzawodniczący, rywalizujący"
promote,"awansować, promować, reklamować, wspierać, popierać"
presentation,"prezentacja, przedstawienie, pokaz"
increasingly,"coraz bardziej, rosnąco"
canal,"kanał, przewód"
discovery,odkrycie
link,"połączenie, odnośnik, odsyłacz, łącze, hiperłącze, łączyć, wiązać, złączyć, kojarzyć"
satisfied,"zadowolony, usatysfakcjonowany"
terminal,"terminal, stacja końcowa, terminal komputerowy, końcowy, śmiertelny"
definite,"definitywny, pewny, ostateczny, określony"
vast,"obszerny, rozległy, ogromny, szeroki"
informed,"poinformowany, informować, zawiadomić"
vary,"różnić się, zmieniać się, zmieniać, urozmaicać"
generated,"wygenerowany, generować, wytworzony, spowodowany"
emotional,"uczuciowy, emocjonalny"
poverty,"bieda, ubóstwo"
accuracy,"dokładność, ścisłość, akuratność, precyzja"
communist,"komunista, komunistka, komunistyczny"
basin,"miska, misa, zlew, umywalka, miednica, dorzecze, niecka"
rubber,"guma, gumka, prezerwatywa, gumowy"
discrimination,"dyskryminacja, rozróżnianie"
prison,"więzienie, zakład karny"
acceptance,"akceptacja, przyjęcie"
visible,"widoczny, zauważalny, dostrzegalny"
parallel,"równoległy, paralela, równolegle, odpowiednik, podobny"
retail,"detal, handel detaliczny, detaliczny, sprzedaż detaliczna, sprzedawać detalicznie"
minority,"mniejszość, mniejszościowy"
divine,"boski, przepowiadać, domyślać się, zgadywać"
huge,"ogromny, wielki, potężny, olbrzymi"
defence,"obrona, defensywa, umocnienia, obrońca"
fit,"pasować, zgadzać się, montować, mocować, być w formie, mieścić się, wyposażyć, dopasować, odpowiedni, właściwy, napad, atak"
weapons,broń
satisfaction,"satysfakcja, zadowolenie"
irish,"Irlandczyk, Irlandka, irlandzki"
exact,"dokładny, precyzyjny, dokładnie"
strategic,strategiczny
threat,"zagrożenie, groźba"
taxation,"opodatkowanie, nakładanie podatków"
tank,"zbiornik, czołg, tankować"
inquiry,"zapytanie, dochodzenie, ankieta, sondaż, wywiad"
heaven,"niebo, raj"
guidance,"porada, wskazówka, zalecenie, instrukcja, poradnictwo, pokierowanie"
australian,"Australijczyk, Australijka, australijski"
trend,"tendencja, trend, moda, tendencja rozwojowa, dążyć, zmierzać"
intermediate,"pośredni, przejściowy, średnio zaawansowany"
