front,back
those,"tamci, tamte"
many,"wiele, dużo, liczna"
through,"przez, poprzez, dzięki, w czasie, po"
like,"jak, podobny, lubić, chciać, na przykład"
well,"dobrze, studnia, więc, no"
same,"taki sam, ten sam, to samo"
must,"musieć, konieczność"
very,"bardzo, rzeczywiście"
because,"ponieważ, bo, gdyż, z powodu"
before,"przed, wcześniej, zanim, nim"
people,ludzie
how,"jak, ile, dlaczego"
both,"obaj, oboje, obie, oba"
number,"liczba, numer, pewien, ilość, wiele, numerować, liczyć, ileś"
much,"dużo, wiele, bardzo, o wiele"
case,"pudełko, skrzynia, sprawa, przypadek, futerał, pokrowiec, walizka, teczka, litera, pakować"
way,"droga, szlak, kierunek, przejście, przejazd, podróż, sposób, postępowanie, zwyczaj, bardzo, dalece, zdecydowanie"
three,"trzy, 3, trójka, troje, trzylatek, trzylatka"
section,"sekcja, część, dział, odcinek, fragment, paragraf, wycinek, cząstka, przekrój, ciąć, pociąć"
life,"życie, trwałość, żywotność"
water,"woda, podlewać, polewać, wodny"
day,"dzień, doba, dniówka, okres"
high,"wysoki, wysoko"
just,"tylko, właśnie, dopiero co, sprawiedliwy, rzetelny, właściwy"
man,"mężczyzna, człowiek, osoba, pionek, kumpel"
order,"zamówienie, rozkaz, porządek, zakon, klasa, kolejność, zamawiać, rozkazywać, porządkować"
world,świat
good,"dobro, pożytek, dobry, właściwy, korzystny, uczciwy, grzeczny, smaczny, dobrze"
great,"wielki, świetny, wspaniały, świetnie, wspaniale"
information,"informacja, zawiadomienie"
here,"tu, tutaj, oto"
own,"własny, posiadać, przyznać się"
know,"wiedzieć, znać, pamiętać, rozumieć, doświadczać, wiedza"
another,"kolejny, następny, dodatkowy, inny, drugi, nowy"
back,"plecy, tył, grzbiet, obrońca, oparcie, zawracać, wspierać, tylny"
school,"szkoła, ławica, więzienie, szkolić, trenować, dawać szkołę, kształcić, wykazywać wyższość"
american,"Amerykanin, Amerykanka, amerykański"
take,"wziąć, chwycić, łapać, zabrać, przyjąć, użyć, spożywać, przejąć, odjąć"
small,"mały, niewielki"
different,"inny, odmienny, różny"
large,"duży, ogromny, obszerny, liczny"
house,"dom, budynek, izba, firma, ród, muzyka house"
city,"miasto, metropolia"
little,"mały, mało, niewiele"
business,"biznes, interes, sprawa, firma, przedsiębiorstwo, biznesowy"
men,"mężczyźni, ludzie"
get,"dostać, otrzymać, stać się, rozumieć, zdobyć, zarobić, dotrzeć, odebrać, przynieść"
every,każdy
social,"społeczny, socjalny, stadny, gromadny, towarzyski"
place,"miejsce, lokal, umieszczać, kłaść, określić, umiejscowić"
too,"za, zbyt, nadmiernie, strasznie, nad wyraz, bardzo, także"
group,"grupa, grupować"
point,"punkt, sedno, istota, rzecz, kropka, celować, wskazywać"
old,"stary, dawny, doświadczony, były, poprzedni"
children,dzieci
long,"długi, długo, długoterminowy"
think,"myśleć, pomyśleć, zastanawiać się, sądzić, uważać, przypuszczać, wyobrażać sobie, mieć na myśli, zamierzać"
important,"ważny, istotny"
table,"stół, tabela, tabliczka, stołowy, towarzystwo"
come,"przychodzić, przybywać, pochodzić, pojawiać się, dochodzić, doświadczyć"
period,"okres, epoka, lekcja, miesiączka, kropka"
go,"iść, wyjść, podróżować, poruszać się, umierać, pasować, działać, powodzić się, ruch, zgoda"
program,"program, programować, planować"
office,"biuro, urząd"
war,"wojna, konflikt, wojenka, toczyć, toczyć się"
end,"koniec, zakończenie, kres, granica, skończyć, zakończyć się"
second,"drugi, sekunda, chwila, po drugie"
health,"zdrowie, stan zdrowia, kondycja"
never,"nigdy, wcale, w ogóle"
board,"tablica, deska, płyta, rada, pokład, wikt"
form,"kształt, formularz, forma, figura, klasa, formatka, uformować, ustanowić, kształtować"
until,"aż, dopóki"
again,"ponownie, znowu, znów"
action,"akcja, działanie, czynność, ruch, postępowanie"
four,"cztery, 4, czwórka, czterolatek, czterolatka"
example,"przykład, wzór"
home,"dom, domowy, ojczyzna"
hand,"ręka, dłoń, strona, wskaźnik, pomoc, wpływ, kontrola, rozdanie, wręczyć"
called,zwany
course,"kurs, przebieg, tor, danie"
line,"linia, kolejka, rząd, przewód, tor, trasa"
change,"zmiana, drobne, zmieniać, rozmieniać"
women,kobiety
person,"osoba, człowiek"
question,"pytanie, kwestia, wątpliwość, kwestionować, pytać"
family,rodzina
often,często
special,"specjalny, wyjątkowy, szczególny"
history,historia
right,"właściwy, poprawny, prawo, mieć rację"
subject,"podmiot, przedmiot, temat, podległy"
others,"inni, inne"
best,"dobry, najlepszy, usilny, mistrz"
held,"trzymać, odbyć się"
set,"zestaw, zbiór, ustawić"
side,"strona, bok, drużyna, angażować się"
left,"lewy, lewicowy, w lewo"
always,"zawsze, stale"
five,"pięć, 5, piątka, pięciolatek"
field,"pole, teren, boisko, odpowiadać"
book,"książka, rezerwować, księgować, meldować się"
due,"należny, spodziewany"
full,"pełny, napełniony"
name,"imię, nazwisko, nazwa, nazywać"
type,"typ, rodzaj, czcionka, pisać"
head,"głowa, kierować, nagłówek"
put,"kłaść, wkładać, umieszczać, formułować"
why,"dlaczego, powód"
body,"ciało, organizm, grupa, kadłub"
problem,"problem, zadanie, kwestia"
white,"biały, biel, jasny, białko, jajo, wino"
above,"nad, ponad, powyżej, powyższy"
let,"niech, pozwalać, wpuszczać, wypuszczać, przepuszczać"
light,"światło, lampa, źródło światła, jasny, lekki, lekkostrawny, zapalać, rozpalać, oświetlać"
become,"stać się, zostać, nadchodzić"
age,"wiek, epoka, era, starość, starzeć się, postarzać"
matter,"materia, substancja, materiał, sprawa, kwestia, temat, mieć znaczenie"
class,"klasa, lekcja, kurs, gromada"
things,"rzeczy, przedmioty, sprawy, drobiazgi"
away,"z dala, daleko, precz, stąd, poza, oddalać się, wyjechać, wyruszyć"
want,"chcieć, pragnąć, pożądać, potrzeba"
shown,"pokazany, wyświetlony, ukazany"
foreign,"obcy, zagraniczny"
something,coś
later,"późno, późny, później"
june,czerwiec
party,"przyjęcie, impreza, partia, strona, uczestnik, imprezować"
once,"kiedyś, raz, kiedy"
money,"pieniądz, pieniądze"
young,młody
words,"słowa, rozmowa, dyskusja, tekst"
open,"otwierać, otwarty, jawny, publiczny, otwarcie"
free,"wolny, swobodny, darmowy, uwolnić, zwolnić, swobodnie, darmowo"
real,"realny, rzeczywisty, prawdziwy, autentyczny, naprawdę"
together,"razem, wspólnie"
paper,"papier, gazeta, dokument, referat, egzamin pisemny, papierowy, pakować"
building,budynek
yet,"jeszcze, wciąż, jednak, choć"
almost,"prawie, o mało"
price,"cena, kurs, koszt, wyznaczać, oceniać, wyceniać"
room,"pokój, pomieszczenie, miejsce, przestrzeń, możliwość"
look,"patrzeć, spojrzeć, spoglądać, wyglądać, wydawać się, spojrzenie, wygląd"
already,już
around,"dookoła, wokół, w pobliżu, wokoło"
date,"data, randka, termin, datować, datownik"
bank,"bank, bankier, brzeg, skarpa, nasyp, ławica, wpłacać, bankowy"
students,"studenci, uczniowie"
asked,"pytać, zapytać, zapytany"
food,"jedzenie, żywność, pożywienie, żywnościowy"
nothing,"nic, zero"
street,"ulica, droga, uliczny"
plan,"plan, rozkład, planować, zaplanować"
self,"jaźń, siebie, własny"
july,lipiec
note,"notatka, liścik, przypis, nuta, ton, nota, banknot, ogłoszenie, rachunek, zauważyć, notować"
black,"czarny, czerń, murzyński, czernieć"
college,"szkoła wyższa, uniwersytet, wydział"
true,"prawdziwy, dokładny, ścisły, prawdziwie, dokładnie"
short,"krótki, niski, krótkometrażowy, krótka sprzedaż, krótko, nagle"
pay,"zapłacić, płacić, zwracać, opłacać się, ponosić, płaca, wynagrodzenie, pensja, płatny"
read,"czytać, odczytać, studiować, interpretować, brzmieć"
care,"opieka, troska, dbałość, ostrożność, troszczyć się, dbać, pielęgnować"
test,"test, próba, sprawdzian, klasówka, kartkówka, badanie, testować, badać, egzaminować"
river,rzeka
reason,"powód, przyczyna, rozum, rozsądek, racja, uzasadniać, dowodzić, przekonywać"
church,"Kościół, kościół, nabożeństwo"
language,"język, mowa, styl, słownictwo"
practice,"praktyka, zwyczaj, ćwiczenie, praktykować, trenować"
science,"nauka, dyscyplina, naukowy"
months,"miesiąc, miesiące"
activities,"działania, czynności, aktywności"
whose,"czyj, czyja, czyje"
size,"rozmiar, wielkość"
six,"sześć, 6, szóstka"
love,"miłość, kochać, uwielbiać, lubić"
father,"ojciec, przodek, zrodzić, spłodzić, usynowić"
kind,"rodzaj, typ, uprzejmy, miły, życzliwy"
british,"brytyjski, Brytyjczyk, Brytyjka"
told,"powiedział, powiedziany"
usually,zwykle
design,"projekt, wzór, projektować, projektowanie"
described,opisany
eyes,"oko, oczy"
personal,"osobisty, prywatny, własny, indywidualny"
art,"sztuka, dzieło"
below,"poniżej, niżej"
hours,"godzina, godziny"
america,Ameryka
meeting,spotkanie
fig,figa
ground,"ziemia, grunt, teren, podstawa"
page,"strona, karta"
night,"noc, wieczór, zmrok, nocny"
face,"twarz, oblicze, mina, stawiać czoło"
mind,"umysł, pamięć, rozum, myśleć"
brought,"przyniósł, przywiózł"
review,"omówienie, przegląd, recenzja, inspekcja, sprawdzenie, rewizja, omawiać, recenzować, rewidować, przetrząsać, sprawdzać"
believe,"wierzyć, myśleć, przypuszczać"
mother,"matka, pramatka, źródło, troszczyć się, matkować, niańczyć"
close,"zamknąć, zakończyć, bliski, podobny, zażyły, zamknięty"
keep,"trzymać, mieć, posiadać, utrzymywać, opiekować się, zachowywać, powstrzymywać się"
april,kwiecień
rule,"reguła, zasada, linijka, rządzić"
workers,pracownicy
help,"pomoc, pomocny, pomagać, pomóc"
congress,"kongres, zjazd"
really,"naprawdę, istotnie, rzeczywiście"
king,"król, dama, koronować, królować, promować"
role,rola
january,styczeń
article,"artykuł, przedmiot, wyrób, paragraf, reguła, rodzajnik"
today,"dzisiaj, dziś"
december,grudzień
library,"biblioteka, biblioteczny"
near,"blisko, niedaleko, w pobliżu, zbliżać się"
began,"zacząć, zaczynać, rozpocząć, rozpoczywać się"
letter,"list, litera, pismo, dokument"
heart,"serce, sedno, centrum, otucha"
late,"późny, spóźniony, ostatni, późno"
code,"kod, norma, kodować"
lord,"lord, pan, dominować"
felt,"filc, filcowy, kapelusz"
english,angielski
added,"dodany, dodać"
town,"miasto, miasteczko"
strong,"silny, mocny"
fire,"ogień, pożar, strzelać, zapalać"
october,październik
soon,"wkrótce, niedługo, prędzej"
sir,"pan, proszę pana"
french,"francuski, Francuz"
hard,"trudny, twardy, ciężki, ciężko, trudno"
week,tydzień
carried,"niósł, przenosił"
september,wrzesień
anything,"coś, cokolwiek"
england,Anglia
difficult,trudny
technology,technologia
turn,"zakręt, obrót, zmiana, kolejka, kręcić, obracać się, zmieniać się"
defendant,"pozwany, oskarżony"
job,"praca, zawód, zadanie, etat"
vol,tom
idea,"myśl, pomysł, idea, pojęcie, koncepcja"
answer,"odpowiedź, rozwiązanie, odpowiadać"
story,"historia, opowieść, fabuła"
list,"lista, spis, wykaz"
longer,"dłuższy, dłużej"
sales,"sprzedaż, obrót"
son,syn
run,"biec, prowadzić, uciekać, bieg, przebieg"
sea,morze
ten,"dziesięć, 10, dziesiątka"
meet,"spotkać, spełniać, spotkanie"
august,sierpień
reading,"czytanie, odczyt, interpretacja"
half,"połowa, połówka, pół"
post,"poczta, słup, stanowisko, wysłać"
moment,"moment, chwila"
difference,różnica
twenty,"dwadzieścia, 20"
sure,"pewny, pewnie, na pewno, oczywiście"
behind,"za, z tyłu, w tyle"
character,"postać, znak, charakter"
stage,"etap, scena"
big,duży
play,"grać, bawić się, sztuka, przedstawienie"
wife,żona
heard,"usłyszeć, usłyszany"
officer,"oficer, urzędnik, funkcjonariusz, dowódca"
door,drzwi
site,"miejsce, teren, lokacja, sieciowa, strona WWW, umiejscawiać, umiejscowić"
november,listopad
hospital,szpital
poor,"biedny, kiepski, słaby"
box,"pudełko, skrzynka, futerał, boks, loża, kabina, budka, ramka, obudowa, komputer, ochraniacz, uderzenie, pięść, bukszpan, pole karne, zapakować, boksować"
canada,Kanada
car,"samochód, samochód osobowy, wagon"
survey,"badanie, sondaż, ankieta, oględziny, ekspertyza, przegląd, geodezyjny, ankietowy, przeglądać, oceniać, przeprowadzać, lustrować"
music,muzyka
culture,"kultura, uprawa, hodowla, produkcja, kultura bakterii"
earlier,"wcześniej, wcześniejszy"
february,luty
station,"stacja, posterunek, stacjonować"
alone,"sam, samotny, w pojedynkę, wyłącznie, tylko"
europe,Europa
future,"przyszłość, przyszły"
key,"klucz, klawisz, przycisk, legenda"
farm,"farma, gospodarstwo, uprawiać, gospodarować"
computer,"komputer, rachmistrz, komputerowy"
past,"przeszły, miniony, poprzedni, ostatni, przeszłość"
china,"porcelana, fajans"
morning,"ranek, poranek, poranny"
minutes,minuty
france,Francja
news,"wiadomość, wiadomości, nius, wieść"
wall,"ściana, mur"
ago,"temu, wcześniej"
born,urodzony
peace,"pokój, spokój, zgoda, rozejm"
senate,"senat, izba wyższa"
built,"zbudowany, wybudowany"
amendment,"poprawka, zmiana, nowelizacja"
everything,wszystko
teachers,nauczyciele
seven,"siedem, siódemka, siedmiolatek, siedmiolatka, siódmy"
island,wyspa
discussed,"omawiany, dyskutowany"
start,"początek, start, rozpoczęcie, zaczynać, uruchamiać, ruszać"
friends,przyjaciele
machine,"maszyna, mechanizm"
live,"żyć, mieszkać, prowadzić, żywy, na żywo"
plaintiff,"powód, powódka"
collection,"kolekcjonowanie, zbieranie, kolekcja, zbiór"
eight,"osiem, ósemka, ośmiolatek, ośmiolatka"
fine,"grzywna, mandat, przystojny, ładny, karać"
smith,kowal
parents,rodzice
germany,Niemcy
red,"czerwony, czerwień, komunistyczny"
covered,"pokryty, zakryty"
else,"inaczej, poza tym, jeszcze"
events,wydarzenia
becomes,"stawać się, zostaje"
heavy,"ciężki, masywny, syty"
housing,"mieszkalnictwo, budownictwo mieszkaniowe"
moved,"poruszony, wzruszony, przeniesiony"
park,"park, parkować"
fish,"ryba, ryby, łowić"
summer,"lato, letni"
dark,"ciemny, mroczny"
japan,Japonia
floor,"podłoga, piętro"
spring,"wiosna, sprężyna, skakać"
cold,"zimny, przeziębienie"
address,"adres, zwracać się, przemawiać"
color,"kolor, barwa, kolorować"
bad,"zły, niedobry"
africa,Afryka
hall,"hala, sala, aula, przedpokój, hol"
ready,"gotowy, przygotowany"
animals,zwierzęta
items,przedmioty
bed,"łóżko, posłanie, dno, złoże, pokład, warstwa, grządka, iść spać, iść do łóżka, uprawiać seks z kimś"
easy,"łatwy, prosty, lekki, na luzie, wyluzowany, łatwo, swobodnie"
paragraph,"akapit, ustęp, dzielić na akapity"
blue,"niebieski, błękitny, błękit, smutny, sprośny, ubierać się na niebiesko, ufarbować na niebiesko"
agreed,"uzgodniony, umówiony"
glass,"szkło, szklanka, kieliszek, szyba"
successful,"udany, skuteczny, efektywny, powodzenie, odnosić sukces"
top,"szczyt, wierzchołek, góra, powierzchnia, bąk, kwark, górny, szczytowy, przykrywać, pobić rekord, przewyższyć, popełnić samobójstwo"
dollars,dolary
cut,"ciąć, wycinać, rąbać, kroić, krój, obcięcie, cięcie"
stop,"przerwa, przystanek, zatrzymanie, znak stop, zatrzymać, zatrzymać się, przerwać, zakończyć"
sold,"sprzedany, sprzedał"
miss,"panna, tęsknić za, chybić, nie trafić, minąć się, przeoczyć, opuścić, spóźnić się"
introduced,"przedstawiony, wprowadzony, zaprezentowany"
picture,"obraz, obrazek, zdjęcie, uosobienie, przykład, przedstawiać"
standing,"pozycja, reputacja, znaczenie, okres trwania"
remember,"pamiętać, zapamiętać, nie zapominać"
someone,ktoś
ratio,"stosunek, proporcja, relacja"
trees,drzewa
bar,"belka, pręt, drążek, listwa, sztacheta, sztabka, przeszkoda, bariera, szlaban, krata, ruszt, batonik, baton, adwokatura, bar, pub, lada, takt, bar, kostka mydła, zaryglować, tarasować, blokować, uniemożliwiać, zabronić"
hill,"wzgórze, pagórek"
experimental,"eksperymentalny, doświadczalny, badawczy, próbny, awangardowy"
thereof,"z tego, z nich"
sun,słońce
speak,"mówić, rozmawiać, konwersować, przemawiać, wygłaszać, wypowiadać, powiedzieć, wyrażać, świadczyć o, posługiwać się"
european,"europejski, Europejczyk, Europejka"
telephone,"telefon, telefonować, dzwonić"
girl,"dziewczyna, dziewczynka, panna"
uses,"zastosowania, użycia, używać"
milk,"mleko, doić, wykorzystywać"
interested,"zainteresowany, zafrapowany"
fourth,czwarty
boy,"chłopiec, chłopak"
husband,"mąż, oszczędnie gospodarować"
german,"niemiecki, Niemiec, Niemka"
copy,"kopia, egzemplarz, kopiować, powielać, rozumieć, naśladować"
speech,"przemówienie, przemowa, mowa, zdolność mówienia"
dry,"suchy, wytrawny, suszyć"
quickly,szybko
hot,"gorący, pikantny, atrakcyjny, seksualny, gorąco"
winter,"zima, zimowy, zimować, przezimować"
game,"gra, zabawa, zwierzyna"
stone,"kamień, kamyk, kostka, pestka, ukamienować"
brother,brat
owner,"właściciel, właścicielka"
wrong,"błąd, pomyłka, zły, błędny, niewłaściwy, niesłusznie, niepoprawnie"
radio,"radio, stacja radiowa, medium radiowe, radiowy, nadawać, odbierać, komunikować się"
thirty,"trzydzieści, 30"
team,"drużyna, zespół, zaprzęg, połączyć siły, utworzyć zespół"
memory,"pamięć, wspomnienie"
clinical,kliniczny
spent,"zużyć, wyczerpać, wydać, spędzić, wyczerpany"
hair,"włos, włosy"
accordance,"zgodność, zgodnie, w zgodzie"
fair,"targi, jarmark, sprawiedliwy, słuszny, sprawiedliwie, jasny"
jurisdiction,jurysdykcja
britain,Wielka Brytania
bottom,"dno, spód, dół, podnóże, sedno, pupa"
attorney,"adwokat, radca prawny"
hence,"stąd, w związku z tym, z tego powodu"
medicine,"lekarstwo, medycyna"
drawn,narysowany
illinois,Illinois
marriage,"małżeństwo, ślub"
indian,"Indianin, Indianka, indyjski"
mouth,"usta, pysk, gęba, ujście, wylot"
ship,"statek, wysyłać"
visit,"wizyta, odwiedziny, pobyt, odwiedzać, wizytować, składać wizytę"
statute,ustawa
nine,"dziewięć, 9"
subsequent,"kolejny, następny"
leaders,"liderzy, przywódcy, kierownicy"
piece,"kawałek, sztuka, moneta, bierka, utwór"
club,"klub, lokal, pałka, maczuga, kij, golfowy"
happened,"zdarzyć się, wydarzyć się"
sat,satelita
thank,"dziękować, podziękować, podziękowanie"
anyone,"ktoś, ktokolwiek, każdy"
everyone,"każdy, wszyscy"
rich,"bogaty, żyzny, zasobny, pożywny"
daughter,córka
filled,"wypełniony, napełniony"
counsel,"rada, porada, adwokat, obrońca, doradca, radzić, poradzić"
correct,"poprawny, właściwy, poprawiać"
collected,"zebrany, zgromadzony"
phone,"telefon, dzwonić, telefonować"
liability,"zobowiązanie, dług, odpowiedzialność, ciężar"
applicable,"odpowiedni, stosowany"
mail,"poczta, korespondencja, wysyłać"
fast,"szybki, szybko, post, pościć"
map,"mapa, kreślić"
bridge,"most, wiadukt, mostek, brydż, łączyć"
brain,"mózg, umysł"
beautiful,"piękny, wspaniały, świetny"
australia,Australia
window,"okno, okienko, witryna, wystawa"
lady,"dama, pani, kobieta"
green,"zielony, ekologiczny, przyjazny środowisku"
supreme,"najwyższy, naczelny, wzniosły"
talk,"rozmowa, pogadanka, wykład, rozmawiać, mówić"
protein,"białko, proteina, białkowy"
density,gęstość
skills,"umiejętność, umiejętności"
message,"wiadomość, wieść, przesłanie, przekaz"
maybe,"może, zapewne"
ice,lód
farmers,rolnicy
sugar,cukier
hope,"nadzieja, mieć nadzieję, spodziewać się"
excellent,"doskonały, wspaniały"
happy,"szczęśliwy, radosny"
grade,"ocena, stopień, klasa, gatunek, oceniać, klasyfikować"
quarter,"ćwierć, jedna czwarta, kwartał, ćwierćdolarówka, dzielić na cztery, czwarty"
wind,"wiatr, nawijać, wić się, nakręcać"
birth,"narodziny, poród"
band,"taśma, opaska, bandaż, banda, zespół muzyczny, pasmo, bandażować"
fruit,"owoc, owocowy, owocować"
doctor,"lekarz, lekarka, doktor"
buy,"kupować, nabywać, przekupywać"
carefully,"starannie, dokładnie, uważnie, ostrożnie"
stay,"pobyt, zatrzymać, pozostać"
horse,koń
block,"blok, kloc, blokować, przeszkoda"
save,"ratować, oszczędzać, zapisywać, z wyjątkiem"
mountain,"góra, górski, na zewnątrz, w górę"
weather,"pogoda, przetrwać, wietrzeć, erodować"
tools,"narzędzia, przyrządy"
arrived,"przybył, przyjechał, dotarł"
yellow,"żółty, tchórzliwy, zazdrosny, żółknąć"
engineers,"inżynierowie, konstruktorzy"
broken,"złamany, zepsuty, uszkodzony"
plane,"samolot, hebel, płaszczyzna, płaski"
killed,"zabił, zabito, zginął"
hotel,"hotel, hotelowy"
garden,"ogród, ogrodzić"
goal,"gol, bramka, cel"
thin,"wąski, cienki, szczupły, chudy, rzadki, rozrzedzać, rozcieńczać, przerzedzać się"
chair,"krzesło, fotel, przewodniczący, przewodnicząca, katedra, przewodniczyć"
sentence,"zdanie, wyrok, kara, skazać"
played,"zagrać, grać, odgrywać, wystawić, rozegrać"
yourself,"ty sam, ty sama, sobie, siebie"
inside,"wnętrze, środek, wewnątrz, wewnętrzny"
tube,"rura, rurka, tuba, tubka, metro"
television,"telewizja, telewizyjny"
fifty,"pięćdziesiąt, 50"
clean,"czysty, czyścić, wyczyścić"
store,"sklep, magazyn, przechowywać, gromadzić"
reader,"czytelnik, czytnik"
chosen,"wybrany, wybierać"
carrier,"roznosiciel, przewoźnik, statek, transporter, nośnik, nosiciel"
card,"karta, wizytówka, pocztówka, karton"
describe,"opisywać, opisać"
camp,"obóz, obozowisko, obozować, rozbić obóz"
sister,"siostra, zakonnica, siostrzany"
discuss,"dyskutować, omawiać"
writer,"pisarz, pisarka"
walk,"spacer, przechadzka, chodnik, ścieżka, chód, iść, spacerować, wyprowadzać"
grounds,"grunt, teren, powód, podstawa"
twelve,"dwanaście, 12"
noise,"hałas, szum, odgłos"
finished,"ukończony, wykończony, skończony, zakończony"
careful,"ostrożny, uważny, staranny, pieczołowity"
train,"pociąg, trenować, szkolenie, ciąg"
forty,"czterdzieści, 40"
thick,"gęsty, gruby, puszysty"
corner,"róg, naroże, kąt, rzut rożny, korner, narożny, zapędzić"
watch,"zegarek, pilnowanie, stróżowanie, dozór, straż, wachta, obserwować, oglądać, czuwać"
vote,"głosować, głos, głosowanie"
sight,"wzrok, widok, dostrzec"
circle,"koło, okrąg, kółko, krążyć"
gray,"szary, siwy"
birds,ptaki
programme,program
ideal,"idealny, doskonały, ideał"
slow,"wolny, powolny, spowalniać"
pleasure,"przyjemność, z przyjemnością"
drive,"prowadzić, kierować, napędzać, przejażdżka, jazda"
shop,"sklep, warsztat, robić zakupy"
famous,"sławny, słynny, znany"
baby,"niemowlę, dziecko, kochanie"
pair,"para, dwójka, dobierać, łączyć w pary, tworzyć parę"
bone,"kość, ość, usuwać ości"
caught,"złapać, chwycić, złapany"
seat,"miejsce, siedzenie, posada, mandat, siodełko, siedziba, tyłek, deska klozetowa, sadzać, sadzać się, posadzić"
joined,"połączyć, łączyć, dołączyć się, przyłączyć, połączony, dołączony"
dog,"pies, suka, hot dog, tropić, natrętnie śledzić"
leaves,"liść, liście, urlop, zostawiać"
meat,"mięso, miąższ"
magazine,"magazyn, czasopismo, skład, magazynek"
repeated,"ponowny, powtórny, powtarzać"
star,"gwiazda, gwiazdka, grać, oznaczać"
corn,"kukurydza, zboże, odcisk (na stopie), modzel"
prince,"książę, królewicz"
ball,"piłka, kula, gałka, bal"
eat,"jeść, spożywać, pożerać, przeżerać"
flowers,kwiaty
rice,ryż
feelings,"uczucia, emocje, wrażenia"
warm,"ciepły, ogrzać, podgrzać, ocieplić, serdeczny"
boat,"łódź, łódka"
strange,"dziwny, obcy, nieznany"
conversation,"rozmowa, konwersacja"
afternoon,"popołudnie, popołudniowy"
beach,plaża
song,"piosenka, pieśń"
gift,"prezent, dar, talent"
bright,"jasny, jaskrawy, bystry, inteligentny, radosny, pogodny"
factory,fabryka
neck,"szyja, kark, gryf"
bell,"dzwon, dzwonek"
spot,"miejsce, plama, plamka, punkt, pryszcz, spot reklamowy, zauważyć, dostrzec, rozpoznać"
pollution,"zanieczyszczenie, polucja"
newspaper,"gazeta, gazetowy"
trip,"wycieczka, podróż, potknięcie, pomyłka"
sunday,"niedziela, niedzielny"
closer,bliższy
dinner,"obiad, kolacja"
sweet,"słodki, uroczy, cukierek, słodycz, deser"
describes,"opisuje, opisywać"
