front,back
yield,"dać, dostarczyć, przynosić, ustąpić, ustępować, poddać się, odstąpić, plon, urobek, wydajność, zwrot, osiadanie gruntu"
employer,pracodawca
identified,"zidentyfikowany, rozpoznany"
specified,"określony, wyspecyfikowany"
equation,równanie
welfare,"opieka społeczna, pomoc społeczna, dobrobyt, zasiłek"
submitted,"złożony, przedłożony"
extension,"przedłużenie, rozszerzenie, wydłużenie, przedłużacz, prolongata, dobudówka, przybudówka, numer wewnętrzny"
commissioner,komisarz
detailed,szczegółowy
external,zewnętrzny
multiple,"wielokrotny, wieloraki, złożony, zbiorowy, wielokrotność"
adequate,"adekwatny, trafny, odpowiedni, stosowny"
scheme,"schemat, ustalenie, plan, projekt"
moral,"morał, moralność, moralny"
corresponding,"odpowiedni, zgodny, właściwy"
overall,"ogólny, całkowity, ogólnie, generalnie"
interpretation,interpretacja
grand,"okazały, wielki, ogromny, wspaniały, majestatyczny, tysiąc"
profit,"zysk, profit, odsetek"
relevant,"istotny, odpowiedni, właściwy, związany"
concrete,"beton, konkret, betonowy, konkretny"
gross,"obrzydliwy, ordynarny, grubiański, skandaliczny, odrażający, brutto, całkowity, sumaryczny"
territory,terytorium
testimony,"zeznanie, świadectwo"
aircraft,"statek powietrzny, samolot, lotnictwo"
finance,"finanse, fundusze, finansować, sfinansować"
marketing,marketing
divided,"podzielony, dzielony, dzielić, podzielić, rozdzielony"
carbon,"węgiel, węglowy"
jury,"jury, ława przysięgłych"
cooperation,"współpraca, kooperacja"
discharge,"zwalniać, wypuszczać, wyładować, wydzielać, zwolnienie, wyładunek, wydzielina"
participation,"udział, uczestnictwo"
wages,"zarobki, płace, pobory"
classification,klasyfikacja
reform,"reforma, poprawa, usprawnienie, reformować"
fundamental,"podstawowy, zasadniczy, fundamentalny, podstawa"
expansion,"ekspansja, rozwój, rozbudowa, rozszerzenie"
legislative,"legislacyjny, ustawodawczy"
corporate,"korporacyjny, firmowy, zbiorowy"
revolution,"rewolucja, przewrót"
grain,"ziarno, zboże, drobinka, szum"
export,"eksport, wywóz, eksportować"
elected,"wybrany, wybierać"
billion,"miliard, bilion"
sexual,"seksualny, płciowy"
bearing,"łożysko, namiar, postawa, manier"
clause,"klauzula, warunek, zdanie składowe"
therapy,"terapia, leczenie"
specifically,"szczególnie, zwłaszcza"
extensive,"obszerny, rozległy, szeroki, znaczny, okazały, ekstensywny"
attached,"przywiązany, załączony, dołączony, przyczepiony"
copper,"miedź, miedziany, gliniarz"
criminal,"przestępca, przestępczyni, przestępczy, kryminalny"
user,"użytkownik, użytkowniczka, abonent"
recognition,"uznanie, rozpoznanie, rozpoznawalność"
treaty,"traktat, układ, umowa"
consistent,"spójny, konsekwentny, logiczny"
certificate,"świadectwo, certyfikat"
input,"wejście, dane wejściowe, wkład, wprowadzać, wejściowy"
necessarily,"koniecznie, z konieczności"
core,"rdzeń, sedno, jądro, ogryzek, szpik, centrum, wydrążyć, rdzeniować"
version,"wersja, odmiana, wydanie, przekład"
consent,"zgoda, pozwolenie, przyzwolenie, zgodzić się, pozwolić"
interior,"wnętrze, wewnętrzny"
extra,"dodatkowy, zapasowy, ekstra, nadzwyczajny, specjalny, dodatkowo, nadzwyczajnie, specjalnie"
creation,"stworzenie, tworzenie, kreacja, dzieło, wytwór"
mine,"mój, swój, kopalnia, mina, złoże, górniczy, kopać, wydobywać, eksploatować, minować"
variation,"zmiana, odmiana, zmienienie, wariacja"
campaign,"kampania, prowadzić kampanię"
exception,wyjątek
navy,"marynarka wojenna, granatowy"
advance,"awans, zaliczka, postęp, wyprzedzenie, wysunąć, awansować, wyprzedzać, posuwać się naprzód, wpłacać zaliczkę, zgłaszać"
fluid,"ciecz, płyn, płynny, ciekły"
savings,oszczędności
cast,"obsada, odlew, gips, odlewany, odlewać, rzucać, zrzucać"
significantly,"znacząco, znacznie"
route,"trasa, szlak, droga, marszruta"
identification,identyfikacja
necessity,konieczność
prime,"najważniejszy, rozkwit, liczba pierwsza, prym"
substance,substancja
parliament,"parlament, stado gawronów"
recommendations,"zalecenie, rekomendacja, wskazówki"
earnings,"zarobek, zarobki, dochód, zysk"
transition,"przejście, transformacja, zmiana, przechodzenie"
psychology,psychologia
creek,"strumień, ciek, zatoczka"
comprehensive,"wszechstronny, kompleksowy, pełny, całościowy"
transmission,"transmisja, przekazywanie, skrzynia biegów, zakażenie, przenoszenie choroby"
perspective,"perspektywa, punkt widzenia, perspektywiczny"
contemporary,współczesny
preliminary,"wstępny, początkowy, wstęp, przygotowanie, eliminacje"
mill,"młyn, młynek, fabryka, frez, mielić"
illustrated,"ilustrowany, zilustrować"
preceding,"poprzedni, poprzedzający"
client,"klient, klientka"
wheat,pszenica
stability,"stałość, stateczność, stabilność"
manufacturers,producenci
applicant,"kandydat, kandydatka, petent"
witness,"świadek, świadczyć, poświadczać"
satisfactory,"zadowalający, satysfakcjonujący, dostateczny, wystarczający"
biological,biologiczny
imports,"importy, importować"
mixture,"mieszanina, mieszanka, mikstura"
willing,"skłonny, chętny, skwapliwy"
universal,"powszechnie, uniwersalny"
cited,cytowany
province,"prowincja, gubernatorstwo, województwo, dzielnica, dziedzina, zakres, resort, kompetencja"
imposed,"narzucony, nałożony, wymuszony"
practically,"praktycznie, w zasadzie"
operator,"operator, telefonista"
troops,"oddziały, żołnierze"
adjustment,"skorygowanie, wyregulowanie, przystosowanie, adaptacja, uzgodnienie"
focus,"ognisko, centrum, skupienie, koncentracja, ostrość, skupić, skoncentrować, wyregulować, zogniskować"
retirement,"emerytura, przejście na emeryturę, stan spoczynku"
legislature,"legislatura, ciało ustawodawcze, ustawodawstwo"
evolution,"ewolucja, rozwój, ewolucyjny"
mortgage,hipoteka
salary,"pensja, płaca, wynagrodzenie"
readily,"chętnie, ochoczo, z łatwością"
naval,"morski, marynarski, okrętowy"
acquisition,"nabycie, zakup, akwizycja, przejęcie, przyswajanie, pozyskiwanie, gromadzenie, nabór"
oral,"ustny, doustny, oralny"
peak,"szczyt, osiągać szczyt, osiągać apogeum, osiągnąć szczyt"
draft,"szkic, projekt, wersja robocza, pobór (militarny), sporządzać, szkicować"
originally,"początkowo, pierwotnie"
exceed,"przekraczać, wykraczać"
particles,"cząstki, cząsteczki, partykuły"
obligations,"zobowiązania, obowiązki"
faculty,"wydział, zdolność, umiejętność"
prescribed,"przepisany, zalecany, przepisać, zalecać"
enterprise,"przedsiębiorstwo, przedsięwzięcie, inicjatywa, przedsiębiorczość"
manufacture,"manufaktura, produkcja, wytwarzać, produkować"
accordingly,"odpowiednio, stosownie, w konsekwencji"
binding,"okładka, oprawa, obwoluta, oprawianie, wiązanie, mocowanie, obowiązywać, wiążący"
panel,"panel, płyta, tafla, płat, pas, tkanina, wstawka, obłożenie, panel dyskusyjny, komitet, zespół, ława przysięgłych, pulpit, konsola"
evil,"zło, zły"
abuse,"nadużycie, wykorzystywanie, maltretowanie, lżenie, nadużywać, wykorzystywać, maltretować, znęcać się"
intellectual,"intelektualista, intelektualistka, inteligent, inteligentka, intelektualny"
utility,"użyteczność, program narzędziowy, narzędzie, zakład użyteczności publicznej"
essentially,"esencjonalnie ,w istocie, w gruncie rzeczy"
manual,"podręcznik, instrukcja obsługi, manuał, ręczny"
deputy,"zastępca, zastępczy, deputowany, poseł"
spread,"rozprzestrzenianie, rozpiętość, ekspansja, zasięg, obszar, rozkładówka, smarowidło, substancja do smarowania, różnica między ceną kupna a sprzedaży, rozprzestrzeniać, szerzyć, rozkładać, smarować, rozprzestrzeniać się"
founded,"założyć, założony, ustanowić, ustanowiony"
acute,"ostry, przeszywający, przenikliwy, bystry, dotkliwy, gwałtowny"
desirable,"wskazany, pożądany, pożądliwy, atrakcyjny"
distinguished,"wyróżniony, wyróżniać się, wybitny, dystyngowany, uhonorowany"
exhibit,"wystawiać, eksponować, pokazywać, eksponat, wystawa, dowód rzeczowy, pokaz"
functional,"funkcjonalny, czynnościowy, sprawny"
conventional,"konwencjonalny, typowy, umowny, tradycyjny"
effectively,"skutecznie, efektywnie, faktycznie"
criticism,krytyka
translation,"tłumaczenie, przekład, translacja, przesunięcie"
prevention,"zapobieganie, profilaktyka, prewencja"
dynamic,"dynamiczny, dynamika, siła napędowa, napędowy"
residence,"miejsce zamieszkania, rezydencja, pobyt, siedziba"
superintendent,"nadzorca, kierownik, inspektor, komisarz"
lease,"najem, dzierżawa, oddać w najem, wydzierżawić"
sensitive,"wrażliwy, drażliwy, wyczulony, tkliwy, delikatny, emocjonalny, czuły"
conversion,"konwersja, zamiana, nawrócenie, przemiana, przywłaszczenie"
beam,"snop, wiązka, dźwigar, belka, rozpromieniać się, przesyłać, nadawać"
equity,"sprawiedliwość, słuszność, kapitał własny, akcje zwykłe"
assumption,"założenie, przypuszczenie, hipoteza"
vital,"istotny, ważny, niezbędny, kluczowy, życiowy, witalny"
axis,oś
valid,"uzasadniony, poprawny, ważny, prawomocny, legalny"
liberal,"liberał, liberalny"
partnership,"partnerstwo, spółka, współudział"
slight,"niewielki, lekki, drobny, słaby, nieznaczny, delikatny, obraza, lekceważenie, obrażać, lekceważyć"
integrated,"zintegrowany, scalony"
width,szerokość
thickness,"grubość, grubość warstwy"
colonial,kolonialny
cable,"kabel, przewód, lina, depesza, okablować"
dose,"dawka, porcja"
devoted,"oddany, poświęcony, dedykowany"
pension,"emerytura, renta, pensjonat"
shift,"zmiana, przesunięcie, zmieniać, przesunąć, bieg, klawisz Shift"
formerly,"dawno, niegdyś, przedtem, poprzednio"
physician,"lekarz, lekarka"
cooperative,"spółdzielnia, spółdzielczy, kooperatywny, pomocny"
fighting,"walka, bić się, bojowy, walczący"
execution,"egzekucja, wykonanie, realizacja, wersja, odmiana"
implications,"implikacje, konsekwencje, następstwa"
identical,"identyczny, jednakowy, identycznie"
considerably,"znacznie, zdecydowanie, w znacznym stopniu"
jews,Żydzi
consciousness,"świadomość, przytomność"
supervision,"nadzór, kontrola, doglądanie, kierownictwo"
striking,"uderzający, godny uwagi, efektowny, niesamowity"
priority,"priorytet, pierwszeństwo"
completion,"zakończenie, ukończenie, zrealizowanie"
edited,"edytowany, zredagowany, edytować, zredagować"
adoption,"adopcja, przyjęcie, akceptacja"
quoted,"cytowany, cytować, zacytować"
commonwealth,"wspólnota, federacja, Wspólnota Narodów"
effectiveness,"skuteczność, efektywność"
intent,"intencja, zamiar"
deemed,"uznany, uważany za"
suffering,"cierpienie, ból"
restrictions,"ograniczenia, restrykcje"
dimensions,"wymiar, wymiary, rozmiar, zakres"
sufficiently,"wystarczająco, dostatecznie"
unlike,"inaczej ,w przeciwieństwie do, wbrew, niepodobny"
solar,słoneczny
spite,"uraza ,złośliwość, robić komuś na złość, złość"
disposal,"usuwanie, likwidacja, pozbywanie się, wywóz"
shipping,"transport morski, przesyłka, wysyłka, wysyłać"
ultimate,"ostateczny, końcowy, krańcowy"
ultimately,"ostatecznie, wreszcie, w końcu"
guidelines,"wytyczne, wskazówki"
contractor,"zleceniobiorca, wykonawca, kontrahent, podwykonawca"
availability,"dostępność, osiągalność, dyspozycyjność"
varied,"różnorodny, zróżnicowany"
correspondence,"zgodność, podobieństwo, korespondencja, odpowiedniość"
premises,"nieruchomość, posesja, siedziba, teren, lokal, pomieszczenie, obiekt"
dispute,"spór, kłótnia, dysputa, spierać się, kłócić się, dyskutować, kwestionować, zaprzeczać"
profile,"profil, zarys, charakterystyka, reputacja, profilować"
virtue,"cnota, zaleta, dobro, zaletność"
thereafter,"następnie, potem, odtąd"
eligible,"kwalifikujący się, uprawniony, spełniać warunki"
probable,"prawdopodobny, możliwy"
headquarters,"siedziba, centrala, kwatera główna"
noble,"szlachetny, arystokratyczny, szlachcic, arystokrata, stan szlachecki"
sustained,"podtrzymany, trwały, utrzymywany, podtrzymywać, wspierać"
outcome,"wynik, rezultat, rezultat końcowy"
involvement,"zajęcie, zaangażowanie"
clothing,"odzież, ubranie, strój"
decade,"dekada, dziesięciolecie"
commander,"dowódca, jednostka, oddział, komandor, wysoki rangą oficer, marynarka, wódz"
radical,"radykał, pierwiastek, rodnik, radykalny, pierwiastkowy, rodnikowy"
reasonably,"wystarczająco, dość, rozsądnie, rozważnie, sensownie"
veterans,"weterani, byli żołnierze"
candidates,"kandydaci, kandydatki"
margin,"margines, marża, brzeg"
discipline,"dyscyplina, karność, posłuszeństwo, dziedzina, dyscyplinować"
regime,"reżim, ustrój, system"
precisely,"dokładnie, precyzyjnie, ściśle, właśnie"
excessive,"nadmierny, przesadny, nadmiarowy, nieumiarkowany"
regardless,"bez względu na, niezależnie od, mimo wszystko"
thoroughly,"dokładnie, gruntownie, całkowicie"
penalty,"kara, grzywna, penalizacja, rzut karny, ukarać"
ethnic,"etniczny, narodowościowy"
rear,"tylny, tył, część tylna, zaplecze, hodować, wychowywać, wznosić, stawać dęba"
nerve,"nerw, odwaga, odważność"
theme,"temat, motyw, motyw artystyczny, motyw graficzny"
plot,"działka, parcela, fabuła, spisek, plan, planować, knuć, wykreślać, nanosić"
mathematical,"matematyczny, matematycznie"
adverse,"niekorzystny, niepomyślny, przeciwny, wrogi"
disorders,"zaburzenia, schorzenia, nieprawidłowości"
virtually,"praktycznie, w praktyce, niemal, wirtualnie"
colleagues,"współpracownicy, koledzy z pracy"
validity,"ważność, poprawność, ważność prawna, wiarygodność"
inflation,inflacja
tender,"delikatny, wrażliwy, czuły, soczysty, łagodny, przetarg"
perception,"percepcja, postrzeganie, odbiór"
likewise,"podobnie, również, tak samo"
pine,"sosna, tęsknić, usychać"
governmental,"rządowy, administracyjny"
enacted,"uchwalony, wprowadzony w życie, ustanowiony, uchwalać, wdrażać"
replacement,"zamiennik, zastępczy, zamiana, podstawienie"
migration,"migracja, przemieszczenie, zasiedlanie"
abandoned,"opuszczony, porzucony, porzucać"
investigated,"badany, zbadany, badać, prowadzić dochodzenie"
undertaken,"podjęty, podjąć się, przedsięwziąć, rozpocząć"
confined,"ograniczony, ciasny, wąski, zamknięty, przykuty, ograniczać"
executed,"wykonany, egzekucjonowany, wykonywać, dokonać egzekucji"
friendly,"przyjazny, życzliwy, sojuszniczy, mecz towarzyski, przyjacielsko"
equipped,"wyposażony, uzbrojony, zaopatrzyć, wyposażyć"
recreation,"rekreacja, wypoczynek, rekreacyjny"
modification,"modyfikacja, zmiana, przeróbka, modyfikować"
dental,"zębowy, dentystyczny"
database,baza danych
reverse,"odwrotność, rewers, bieg wsteczny, odwrócić, jechać wstecz, unieważniać"
revolutionary,"rewolucyjny, rewolucjonista, rewolucjonistka"
editorial,"redakcyjny, redaktorski, artykuł wstępny, edytorial"
privilege,"przywilej, upoważniać, nadać przywilej"
memorial,"pomnik, miejsce pamięci, tablica pamiątkowa, pamiątkowy"
evaluate,"oceniać, ocenić, szacować, określać wartość"
segment,"segment, odcinek, sekcja, fragment, segmentować, dzielić"
fleet,"flota, tabor, szybki, zwinny"
separately,"osobno, oddzielnie"
certified,"certyfikowany, poświadczony, certyfikować"
laser,"laser, laserowy"
hell,"piekło, potępienie, piekielny, do diabła"
suspended,"zawieszony, zawieszać, przerywać"
excluded,"wykluczony, wyłączać, wykluczać"
disposition,"predyspozycja, usposobienie, rozporządzanie, rozmieszczenie, skłonność"
cabinet,"szafka, kredens, gabinete, rada ministrów, ministerstwo"
attendance,"obecność, uczestnictwo, frekwencja, audytorium, widownia, opieka, obsługa, usługa, posługa, uwaga, baczenie"
unto,"do, ku, aż do, po, dla, według, wobec"
administered,"administrować, zarządzać, podawać, administrowany, zarządzany, podawany"
convinced,przekonany
pulse,"puls, tętno, impuls"
injection,"zastrzyk, iniekcja, wtrysk"
conception,"koncepcja, zamysł, zapłodnienie"
incurred,"poniesiony, ponosić, narazić się na"
perceived,"postrzegany, postrzegać, dostrzegać, pojmować"
supplement,"uzupełnienie, suplement, uzupełniać, dopełniać"
assessed,"oceniony, oceniany, wyceniony, oceniać, ocenić, oszacować, szacować"
initiative,"inicjatywa, przedsiębiorczość, rzutkość, początkowy"
infant,"niemowlę, początkujący, niepełnoletni"
crew,"załoga, ekipa, obsada filmowa, banda"
seal,"foka, pieczęć, uszczelka, pieczętować, uszczelniać"
versus,"kontra, przeciw, a, w przeciwieństwie do"
expectations,oczekiwania
allied,"sprzymierzony, pokrewny, sojuszniczy"
comprising,"obejmujący, składający się z"
computed,"obliczony, wyliczony"
injured,"ranny, kontuzjowany, poszkodowany"
fiber,włókno
inspector,"inspektor, inspektorka, kontroler"
thesis,"teza, rozprawa, praca dyplomowa"
interpreted,"interpretowany, zinterpretowany"
attributed,"przypisywać, przypisany"
competent,"kompetentny, fachowy, właściwy, znać się na rzeczy"
ease,"łagodzić, uspokajać się, uprościć, słabnąć, złagodnieć, zelżeć, działać z łatwością, beztroska, relaks"
exclusively,wyłącznie
inadequate,"nieodpowiedni, niedostateczny, niewystarczający, nieadekwatny, niewłaściwy"
implement,"wprowadzić w życie, zastosować, zaimplementować, narzędzie, przyrząd, sprzęt"
aluminum,glin
serial,"seryjny, serial"
flexible,"giętki, elastyczny"
ridge,"grzbiet, wał, pasmo górskie, grzbiet oceaniczny"
numerical,numeryczny
crucial,"krytyczny, istotny, decydujący, kluczowy"
undoubtedly,niewątpliwie
alliance,"sojusz, przymierze, alians"
dismissed,"zwolniony, oddalony, odrzucony"
fisheries,"rybołówstwo, gospodarka rybna, przemysł rybny"
converted,"przekształcony, nawrócony, zmodyfikowany"
educated,wykształcony
servant,"służący, sługa"
tail,"ogon, śledzić"
strictly,"tylko, wyłącznie, ściśle, dokładnie, surowo"
subdivision,"podział, pododdział, podpodział"
walker,"piechur, spacerowicz, chodzik"
hunting,"polowanie, łowiectwo"
dear,"drogi, kochany, kosztowny, szanowny, ukochany, kochanie"
fate,"przeznaczenie, los, zguba"
tumor,"nowotwór, guz, nowotworowy"
fraud,"oszustwo, oszust, oszustka"
transmitted,"przesyłać, przekazywać, nadawać, transmitować, przenosić, przekazany"
implies,"oznaczać, zakładać, sugerować, pociągać za sobą"
altered,"zmieniony, zmodyfikowany, przerobiony"
complexity,złożoność
flesh,"ciało, mięso, miąższ, tusza"
throat,gardło
facilitate,"torować, ułatwiać, upraszczać"
threatened,"zastraszać, grozić, zagrażać, zagrożony"
capability,"zdolność, możliwość"
worship,"cześć, kult, czcić, uwielbiać, ubóstwiać"
illustrations,"ilustracja, ilustracje, obrazek, rysunek"
assured,"zapewnić, zagwarantować, upewnić, zapewniony, pewny siebie"
audit,audyt
label,"metka, etykieta, nalepka, etykietować, nalepiać, znakować, określać"
initiated,"inicjować, zapoczątkować, rozpoczynać, zainicjować, inicjowany, zainicjowany"
navigation,"nawigacja, żegluga, żeglowanie"
anticipated,"przewidywać, oczekiwać, spodziewać się, oczekiwany, przewidziany"
justify,"usprawiedliwiać, uzasadniać"
gear,"bieg, przerzutka, układ, mechanizm, sprzęt, przybór, ubranie, narkotyk"
philosophical,filozoficzny
assurance,"przekonanie, zapewnienie, ubezpieczenie, asekuracja"
certification,"poświadczenie, zaświadczenie, atest, certyfikacja"
genuine,"prawdziwy, oryginalny, szczery"
arch,"łuk, sklepienie, przęsło, łukowy, wyginać, wygiąć"
verse,"poezja, wiersz, zwrotka, wers, werset"
constraints,"ograniczenia, warunki"
detected,"wykryty, zauważony, odkryty"
testified,"zeznawać, zeznać"
hardware,"sprzęt, osprzęt komputerowy"
innovation,innowacja
polish,"polerować, szlifować, wygładzać, pasta polerska, połysk"
purchasing,"zakup, nabywanie"
controversy,"dysputa, spór, dyskusja, polemika, kontrowersja"
supervisor,"kierownik, kierowniczka, nadzorca, nadzorczyni, inspektor"
presumably,"przypuszczalnie, prawdopodobnie"
fox,"lis, podstępny, oszukać, zmieszać, zbijać z tropu"
deficit,"niedobór, deficyt"
divorce,"rozwód, rozwodzić"
enhanced,"ulepszony, wzmocniony, podwyższony"
justified,"usprawiedliwiony, uzasadniony"
bid,"oferta, licytacja, stawka, licytować, składać ofertę, nakaz, rozkaz"
underground,"podziemie, ruch oporu, podziemny"
withdrawal,"cofnięcie, wycofanie, odwrót, wypłata, odejście, cofać, wycofywać, wypłacać"
informal,"potoczny, nieformalny"
marginal,"marginalny, marginesowy, znikomy, drugorzędny"
tribes,"plemię, plemiona"
holder,"właściciel, okaziciel, uchwyt, obsadka"
investors,inwestorzy
potentially,potencjalnie
harm,"krzywda, szkoda, krzywdzić, szkodzić"
legitimate,"słuszny, uzasadniony, prawowity, legalny, zgodny z prawem"
disposed,"rozporządzać, zbyć, usunąć, pozbyć się, skłonny"
forestry,leśnictwo
feedback,"sprzężenie zwrotne, informacja zwrotna"
bankruptcy,bankructwo
offense,"przestępstwo, wykroczenie, obraza, atak"
presidential,prezydencki
odd,"dziwny, nieparzysty, osobliwy"
flexibility,elastyczność
merchandise,"towar, handlować"
eighth,ósmy
qualifications,"kwalifikacje, uprawnienia, predyspozycje"
evidently,"ewidentnie, najwyraźniej, widocznie"
mature,"dojrzały, dojrzewać, pełnoletni"
venture,"przedsięwzięcie, ryzyko, zaryzykować, podjąć ryzyko"
prohibited,"zabroniony, zakazany, niedozwolony"
compact,"porozumienie, układ, zwarty, zbity, kompaktowy, treściwy, zajmujący mało miejsca, ściskać, zagęszczać"
extract,"wyciąg, ekstrakt, wypis, wyciągać, wydobywać, ekstrahować"
beneficial,"korzystny, pożyteczny, dobroczynny, zbawienny"
hay,siano
amongst,"wśród, między, pomiędzy"
insufficient,"niedostateczny, niewystarczający, nieadekwatny"
prospects,"perspektywy, szanse"
skilled,"zręczny, wprawny, wykwalifikowany"
archives,archiwa
lesions,"zmiany patologiczne, urazy, uszkodzenia"
utilized,"wykorzystywać, użytkować"
deduction,"dedukcja, wniosek, wywód, odliczenie, potrącenie"
approximate,"przybliżony, aproksymować, przybliżać"
deck,"pokład, piętro, taras, talia"
implied,"implikować, oznaczać, sugerowany, domniemany"
rental,"czynsz, opłata za najem, wynajem, wypożyczenie"
seldom,rzadko
muslim,"muzułmanin, muzułmanka, muzułmański"
heritage,dziedzictwo
gently,"delikatnie, łagodnie"
postal,pocztowy
counter,"lada, kontuar, licznik, pionek, przeciwny, sprzeciwiać się"
delegates,"delegować, delegat"
geographic,geograficzny
barrier,"bariera, przeszkoda"
tunnel,"tunel, przekopywać"
respiratory,oddechowy
widow,wdowa
verbal,"ustny, mówiony, słowny, czasownikowy, dosłowny"
conjunction,"koniunkcja, złączenie, spójnik"
exclusion,"wyłączenie, wykluczenie, niedopuszczenie, wyeliminowanie"
catalogue,"katalog, katalogować"
purchaser,"nabywca, kupujący, nabywający"
medieval,średniowieczny
ambassador,ambasador
stroke,"uderzenie, cios, raz, udar, wylew, pociągnięcie pędzla, kreska, suw, głaskać, głaskanie, styl"
philippines,Filipiny
seasonal,sezonowy
ash,"popiół, jesion"
successive,"kolejny, następny, następujący"
hazardous,"niebezpieczny, ryzykowny"
lifetime,"okres życia, czas życia, życie, żywot, dożywotni"
dominated,"dominować, zdominować, zdominowany"
infected,"infekować, zainfekować, zainfekowany, zakażony"
electronics,elektronika
toxic,"toksyczny, trujący"
tuberculosis,gruźlica
extraction,"wydobycie, ekstrakcja, pochodzenie"
regulated,"regulować, uregulować, regulowany"
gaze,"spojrzenie, wzrok, wpatrywać się, gapić się"
mobility,"mobilność, ruchliwość"
undertaking,"przedsięwzięcie, przedsiębiorstwo, obietnica, przyrzeczenie, zobowiązanie"
catalog,"katalog, katalogować"
