id,cefr_level,word,plwords
188,A1,men,men;mężczyznami;mężczyźni;faceci;facetów
189,A1,get,dostać;rozumiem;Skąd;zanim;stąd
190,A1,every,Codziennie;każde;każda;każdą;codziennie
191,A1,social,towarzyskie;towarzyska;społeczny;towarzyskiego;socjalnym
192,A1,so,przykro;Bardzo;taka;szybko;mógł
193,A1,place,miejscem;mieszkanie;miejsca;dom;miejscu
194,A2,committee,komitet;komisji;komitetu;komisja;Komitet
195,A1,too,Zbyt;wcześnie;Też;Ciebie;także
196,A2,area,obszaru;obszarze;rejonie;strefa;okolicę
197,A1,group,grupowe;Grupa;grupie;grupą;grupa
198,A1,point,uwaga;punkt;punktu;pewnym;sens
199,B1,department,departament;wydział;departamentu;wydziale;pożarną
200,A1,old,starzy;staruszek;staruszka;starej;starą
201,A1,children,dzieciach;dzieciom;Dzieci;dziećmi;naszych
202,A1,long,długą;długie;długa;Długo;potrwa
203,A1,think,Sądzę;uważam;uważasz;sądzisz;myśleć
204,B1,public,publicznym;publiczne;publiczny;publiczna;publiczną
205,A1,important,ważnych;ważnym;Ważne;najważniejszą;ważną
206,A2,last,Ostatni;ostatniego;ostatnia;ostatnią;zeszłej
207,A2,fact,Fakt;faktem;faktu;Prawdę;fakt
208,A2,value,wartość;Wartość;cenisz;Cenię;cenią
209,A2,control,kontrolujesz;kontroluję;kontrola;panowanie;kontroluje
210,A1,table,stolik;stół;stolika;Stół;Stolik
211,A2,education,edukacji;edukację;edukacja;wykształcenie;wykształcenia
212,A1,come,chodź;przyjdzie;przyjść;wejść;daj
213,A1,period,kropka;okresu;Okres;okresem;okres
214,A2,report,Raport;raportem;sprawozdanie;raporcie;autopsji
215,A1,go,Pójdę;idź;idziemy;odejść;pójdę
216,A1,program,Program;programem;program;programie;programu
217,A1,office,gabinet;biurem;Biuro;gabinecie;gabinetu
218,A1,war,wojenne;wojennym;wojną;wojennych;wojenny
219,A1,end,końcem;zakończyć;Koniec;kończy;tygodnia
220,A2,interest,zainteresowanie;odsetkami;odsetki;zainteresować;zainteresuje
221,A1,second,sekundkę;Druga;Drugi;sekundę;sekundy
222,A2,few,Parę;paru;słów;zadać;Kilka
223,A2,study,studiować;pouczyć;badać;uczysz;gabinecie
224,A1,say,powiedzenia;mów;mówią;powiedziałeś;powiedziałem
225,A1,health,zdrowiem;zdrowotnych;zdrowie;zdrowotnej;Zdrowia
226,A1,never,widziałam;nikogo;widziałem;miałem;życiu
227,B1,thus,zatem;oto;dotąd;pory;samym
228,B2,means,Oznacza;czyli;Czyli;oznacza;myśli
229,A2,country,country;krajowi;krajem;wsi;kraj
230,B1,services,usługi;usług;Opieka;służb;opieka
231,A1,board,zarządzie;Zarząd;deska;deskę;tablicę
232,A1,form,forma;formularz;formą;formę;tworzą
233,A2,possible,możliwy;możliwych;Możliwe;możliwość;niemożliwe
234,B1,whether,niezależnie;zdecydować;względu;podoba;zależy
235,A2,following,śledzisz;Śledzisz;nadążam;następujące;śledzi
236,A1,until,momentu;Aż;Dopóki;poczekać;póki
237,A1,most,najwięcej;Najbardziej;większości;najważniejsze;Większość
238,A1,again,Znów;powtórzyć;powtórzy;Znowu;nowa
239,A2,local,lokalny;miejscowy;lokalnego;miejscowego;lokalna
240,A1,action,Akcja;akcja;czynu;akcję;akcje
241,A2,effect,efekt;efektu;Efekt;uboczny;ubocznym
242,A1,four,czwórkę;czworo;czterema;czwórka;czterech
243,B1,process,Proces;procesem;proces;procesie;procesu
244,A2,based,bazując;oparte;oparta;opartą;opierając
245,A1,example,przykładem;przykładu;Weźmy;dawać;przykład
246,A1,home,domem;wrócił;wracać;wrócę;wróci
247,A2,certain,pewnych;pewnej;pewną;pewni;niektórych
248,A2,members,członkom;członkami;Członkowie;członkowie;zarządu
249,A2,among,pośród;Wśród;spośród;wśród;innymi
250,A2,down,Odłóż;dole;ziemię;Usiądź;Siadaj
251,A1,hand,prawą;ręka;ręku;dłoń;ręką
252,A1,give,oddać;dasz;Dam;dał;daj
253,A2,rate,Tętno;tempie;współczynnik;stawka;Puls
254,A2,several,kilkakrotnie;kilkanaście;kilkoma;paru;Kilka
255,A1,having,bawisz;romans;problemy;miała;Mamy
256,A1,called,Dzwoniła;Zadzwoniłem;zadzwoniłam;Dzwoniłam;Dzwonił
257,A1,course,kursu;kurs;Naturalnie;Ależ;jasne
258,A1,cases,skrzynek;przypadki;przypadkach;przypadków;sprawami
259,B1,county,hrabstwa;hrabstwie;hrabstwo;okręgowym;County
260,A1,line,szeregu;linią;kolejki;linia;mety
261,B1,present,teraźniejszości;teraźniejszość;Przedstawiam;obecna;obecne
262,A1,change,odmiany;przebrać;zmienię;zmienisz;zmieniają
263,A1,women,kobietach;kobietom;kobietami;Kobiety;kobiet
264,A2,taken,zabrano;zrobiono;zabrali;zrobione;zabrał
265,A1,am,robię;przepraszam;przykro;twoim;kim
266,A1,john,Johnowi;kibla;Johnem;Johnie;Johna
267,A1,person,osobie;osobę;osobiście;osoba;osoby
268,B1,available,dostępny;dostępna;dostępne;dostępnych;niedostępny
269,A1,days,dniach;czasy;czasach;ostatnich;ostatnio
270,A1,question,pytaniem;przesłuchać;Pytanie;Dobre;kwestia
271,A2,international,międzynarodowych;międzynarodowe;międzynarodowym;międzynarodowy;międzynarodowej
272,B1,president,przewodniczącą;przewodniczącego;prezydentowi;prezes;prezesem
273,B1,amount,kwota;kwotę;suma;sumę;ilością
274,A2,figure,wymyślę;wymyślimy;rozgryźć;wymyślić;ustalić
275,B1,land,lądować;wylądujemy;lądzie;krainie;lądu
276,A1,family,rodzinny;Rodzina;rodzinne;rodziną;rodzinie
277,A2,although,pomimo;Choć;Mimo;Chociaż;chociaż
278,A1,often,często;Często;częściej;rzadko;zdarza
279,A2,cost,kosztować;kosztowało;kosztowała;kosztował;kosztowały
280,A1,special,wyjątkowa;wyjątkowym;wyjątkowe;wyjątkowy;wyjątkową
281,A2,conditions,warunkami;warunków;Warunki;warunki;pewnymi
282,B1,economic,ekonomiczne;ekonomiczny;ekonomicznych;ekonomicznym;ekonomicznej
283,B1,including,łącznie;włącznie;włączając;wliczając;Łącznie
284,A2,results,rezultaty;rezultatów;rezultat;wynikach;wynikami
285,A2,production,produkcji;produkcję;produkcja;Produkcja;produkcją
286,B1,required,wymagane;wymagana;wymagany;wymagało;zobowiązany
287,A1,history,historią;Historia;ludzkości;przeszłość;historię
288,A2,necessary,konieczne;konieczny;konieczna;niezbędne;niepotrzebne
289,A1,find,znajdź;Znajdę;Znajdziemy;znalazłeś;znajdą
290,A1,right,Zgadza;prawo;Zaraz;zaraz;rację
291,A1,using,Używa;wykorzystuje;użyciu;używając;używasz
292,A2,air,klimatyzację;antenie;Powietrze;przewietrzyć;powietrzne
293,B2,federal,federalnych;federalnej;federalna;federalną;federalne
294,A2,south,południe;południową;południowe;Południe;południowego
295,A1,subject,Obiekt;Zmieńmy;obiektem;tematem;temacie
296,A2,therefore,zatem;Zatem;związku;samym;Dlatego
297,A1,others,pozostali;Inni;pozostałych;reszty;innymi
298,A1,best,najlepsi;Najlepsze;Najlepszy;Najlepiej;najlepszymi
299,A2,rather,Wolisz;wolałabym;Wolałabym;wolałbym;Prędzej
300,B1,percent,procenta;Osłony;95;populacji;procentach
301,B2,god,bogiem;bóg;boga;bogu;Bogiem
302,A1,held,przetrzymywany;trzymałem;trzymała;odpowiedzialności;ramionach
303,A1,al,al;Ba;Ra;Baal;Baala
304,B2,commission,prowizję;prowizji;komisji;prowizja;komisja
305,B1,provided,dostarczyła;dostarczył;zapewnił;przydzielony;warunkiem
306,B1,policy,politykę;Polityka;polityka;polityką;polityki
307,A2,chapter,rozdział;rozdziału;rozdziale;Rozdział;wers
308,A1,set,zestaw;ustawić;planie;gotowe;gotowi
309,B1,property,własność;posesji;nieruchomość;mienia;posiadłość
310,A1,side,uboczne;bok;strona;boku;prawej
311,A1,came,Przyszedł;Przyszłam;przyszłam;przyszłaś;Przyszedłem
312,A2,thought,sądziłem;Pomyślałam;myślał;pomyślałam;myśl
313,A1,left,lewa;Zostawiłam;lewą;Zostawiłem;Zostawił
314,A1,always,ciągle;byłeś;chciałam;Zawsze;chciałem
315,A2,level,poziomie;poziomem;Poziom;poziomu;wyższy
316,A1,five,piątkę;pięciu;Pięć;osiem;siedem
317,A1,field,Pole;magnetyczne;polem;boiska;boisko
318,A1,book,Książka;księga;książką;księgę;książka
319,A2,far,Daleko;najdalej;niedaleko;dotąd;daleka
320,B2,known,znanego;znanym;domyślić;znanych;znana
321,A2,going,dokąd;idziemy;Dokąd;Idę;idę
322,A1,due,termin;względu;należy;dzięki;czasie
323,B2,times,czasy;powtarzać;czasów;czasach;dziennie
324,A2,political,polityczne;politycznych;polityczny;polityczna;politycznym
325,A1,full,niespodzianek;pełnego;pełny;pełnej;pełnym
326,A2,evidence,dowodach;Dowody;dowodami;dowodem;wskazują
327,A2,society,społeczeństwo;społeczeństwie;społeczeństwa;społeczeństwem;stowarzyszenie
328,A2,off,Zdejmij;Wyłącz;zdjąć;lepiej;zanim
329,A1,name,Nazwisko;nazwa;nazwę;nazwiskiem;imieniem
330,A1,type,typie;typ;typem;grupę;pisać
331,A2,provide,dostarczy;zapewni;dostarczyć;zapewnić;usługi
332,A2,making,Robisz;Robię;postępy;robię;błąd
333,A1,head,Głowa;głowa;Ręce;głową;szefem
334,B1,analysis,analizę;analizy;analiza;Analiza;analiz
335,A1,put,odłóż;umieścić;położyć;broń;swoje
336,A2,low,nisko;niską;niskie;niska;niskich
337,A1,use,używam;używają;korzystać;przyda;używa
338,B1,least,Chociaż;najmniej;choć;chociaż;przynajmniej
339,A1,why,powód;Skoro;czemu;Dlatego;rozumiem
340,A1,body,Ciało;ciałem;zwłoki;ciele;znaleziono
341,B1,various,rozmaite;różnym;różnymi;wieloma;miejscach
342,B1,though,Choć;Chociaż;Mimo;Jednak;mimo
343,A1,problem,tkwi;kłopot;Problem;problemem;Żaden
344,A2,common,powszechne;powszechna;częste;wspólnym;wspólnych
345,A2,next,następna;następnej;następną;następne;Następnym
346,A1,ii,II;Jan;stadium;światowa;Światowej
347,A2,north,północ;północną;północne;północnego;północnym
348,B1,management,zarządzania;kierownictwo;zarządzanie;kierownictwa;zarządzaniu
349,A1,white,biało;bieli;białymi;biała;Biała
350,A1,above,powyżej;nade;wyżej;ziemią;prawem
351,A1,let,pozwolisz;chodźmy;pozwolę;pozwól;idziemy
352,A1,light,light;światełko;lekki;Światło;światłem
353,A1,become,stałeś;staniesz;stają;stała;zostanę
354,A1,m,Idę;Cieszę;Mówię;pewna;pewien
355,A1,age,wiekiem;starości;wiek;czasach;wieku
356,A1,matter,kwestia;znaczenie;nieważne;względu;Nieważne
357,A2,position,pozycja;pozycjach;pozycję;pozycje;położeniu
358,B1,tax,podatek;podatku;podatkowe;podatkowych;podatkowy
359,A1,class,klasa;klasą;zajęciach;klasę;zajęć
360,A1,things,rzeczach;spraw;różne;pewne;sprawy
361,A1,away,Odejdź;daleka;Trzymaj;dala;uciec
362,A2,cent,centa;cent;złamanego;grosz;grosza
363,A1,want,chcecie;Czego;chcemy;chcą;chciałem
364,A2,trade,handlować;handlowych;wymianę;handlowe;handlem
365,A2,done,Skończyliśmy;skończyliśmy;zrobione;skończyłem;zrobili
366,A1,problems,Problemy;problemach;problemami;kłopotów;problemów
367,A2,systems,systemy;systemów;Systemy;systemach;układów
368,A2,bill,rachunek;Rachunek;banknot;ustawa;rachunku
369,A1,shown,Pokazałeś;pokazałeś;pokazałem;wykazały;pokazała
370,A1,foreign,zagranicznych;zagraniczne;zagraniczny;zagranicznego;zagranicznym
371,A1,et,nomine;Sancti;Filii;Patris;Spiritus
372,A2,areas,obszary;obszarów;obszarach;dziedzinach;strefach
373,B2,energy,energia;energię;energią;Energia;energetyczne
374,A1,l,l;--;Myślę;Nic;Chyba
375,A2,material,materiał;materiału;materiałem;Materiał;materialne
376,A1,something,czymś;Coś;czegoś;innego;takiego
377,B1,district,okręg;dystrykcie;okręgu;dystrykt;dystryktu
378,A2,association,stowarzyszenie;stowarzyszenia;Stowarzyszenie;skojarzenia;skojarzenie
379,A2,himself,osobie;samobójstwo;własnej;osobiście;samego
380,A2,nature,natura;naturze;naturę;natury;naturą
381,A1,later,Pogadamy;Prędzej;Porozmawiamy;pogadamy;porozmawiamy
382,A1,studies,studiuje;bada;wykazują;nauk;wykazały
383,A2,method,metoda;metodę;metodą;metody;Metoda
384,A1,june,czerwca;June;czerwcu;3.;czerwiec
385,B1,industry,przemysł;przemysłu;przemyśle;Przemysł;przemysłem
386,A1,party,kawalerski;Przyjęcie;Impreza;party;partii
387,A1,once,Raz;Kiedyś;natychmiast;choć;razu
388,A1,e,e;E;d;Jesteś;Po
389,A1,money,forsa;pieniądzach;kasa;pieniędzmi;Pieniądze
390,B2,community,społeczność;społeczności;społecznością;wspólnota;Społeczność
391,A1,young,młodo;młodzi;Młody;młode;młodym
392,B1,terms,kategoriach;Warunki;stosunkach;warunkach;warunków
393,B1,press,prasa;Prasa;prasą;prasę;prasy
394,A2,market,rynek;targ;Rynek;rynkiem;targu
395,A2,west,zachód;zachodnią;zachodni;Zachodzie;Zachód
396,A2,public,publicznym;publiczne;publiczny;publiczna;publiczną
397,B1,current,Prąd;aktualny;obecnego;obecnym;obecne
398,A1,words,słowach;Słowa;Innymi;słowami;słowy
399,B1,term,określenie;termin;kadencję;kadencji;terminu
400,A2,human,ludzkim;ludzki;ludzka;ludzkiego;ludzką
401,A1,open,Otwarte;otwartą;otwartym;otworzymy;otwartymi
402,A1,free,darmową;darmowy;wolni;darmowe;wolną
403,A1,child,Dziecko;dziecku;dzieckiem;dziecka;Moje
404,A2,right,Zgadza;prawo;Zaraz;zaraz;rację
405,A1,london,Londynie;Londyn;Londynu;Allo;Londynem
406,B1,income,dochód;dochodu;dochodów;dochody;przychód
407,A2,third,trzeci;trzecią;trzecia;1/3;Trzecia
408,A2,member,Członek;członek;członka;członkiem;gangu
409,A1,real,prawdziwi;Prawdziwy;prawdziwych;prawdziwej;prawdziwego
410,A1,together,kupy;wspólnie;Razem;trzymać;byliśmy
411,A1,paper,papier;toaletowy;papierowe;toaletowego;Papier
412,A1,seen,widziano;widzieliście;Widział;Widzieliście;widzieli
413,B2,particular,konkretnym;szczególny;szczególnym;szczególności;konkretnej
414,A2,view,widok;widokiem;widoki;Widok;pogląd
415,A2,took,Zabrał;Zabrali;Wziąłem;wziąłem;zabrała
416,A1,building,Budynek;budynkiem;buduje;budynek;budować
417,B1,application,podanie;podaniu;podania;podaniem;Podanie
418,A1,n,pas;ni;Kapitan;up;kapitanie
419,A1,yet,mimo;jednak;koniec;razie;wiemy
420,A2,similar,podobne;podobną;podobnej;podobnymi;podobny
421,A1,almost,omal;niemal;Prawie;zapomniałem;mało
422,A2,secretary,sekretarka;sekretarką;sekretarkę;sekretarki;Sekretarka
423,A1,price,cena;Cena;ceną;cenie;ceny
424,A1,room,Pokój;pomieszczeniu;salonie;sali;pokój
425,A1,look,popatrz;wyglądam;wyglądają;patrz;wyglądać
426,A1,already,juz;mówiłem;razy;Już;wie
427,A1,changes,Zmienia;zmianami;zmianach;zmian;zmienia
428,B1,union,związków;unii;związkowi;związkami;zawodowego
429,A2,products,produkty;produktów;produktach;kosmetyki;kosmetyków
430,A1,around,dookoła;Odwróć;pobliżu;okolicy;około
431,A2,need,Potrzebujesz;potrzebują;potrzebować;potrzeba;potrzebował
432,A2,went,Poszłam;poszliśmy;Poszedłem;poszłam;poszedłem
433,A1,date,randka;randką;data;datę;randce
434,A1,bank,bankiem;bankowych;bankowego;Bank;banki
435,A2,received,Otrzymałam;Otrzymaliśmy;otrzymali;Otrzymałem;otrzymałam
436,A1,higher,wyżej;wyższe;Wyżej;wyższą;wyższa
437,B1,treatment,leczenie;kurację;leczenia;Leczenie;kuracji
438,A2,average,przeciętny;przeciętnego;przeciętna;przeciętnym;średnią
439,B1,surface,powierzchnię;Powierzchnia;powierzchnia;powierzchnią;powierzchni
440,A2,death,zgonu;Śmierć;śmiercią;wyrok;śmierć
441,A1,students,studentów;studenci;uczniowie;uczniów;studentami
442,A1,rights,prawach;Prawa;prawami;obywatelskie;obywatelskich
443,A2,purpose,celowo;Celowo;Specjalnie;Celem;specjalnie
444,A2,considered,uważany;uważane;uważana;uznane;uznać
445,A2,model,model;modelką;modelu;modelka;modelem
446,B1,central,centralne;centralnego;centralnej;centralny;centralną
447,B1,basis,podstawę;podstawa;podstawą;podstaw;podstawy
448,A1,result,rezultat;rezultacie;rezultatem;wynikiem;Wynik
449,B1,working,pracując;Pracujesz;Pracujemy;Pracowałem;Pracuje
450,A1,asked,Poprosiłam;Poprosił;Prosiłem;prosiłeś;zapytałem
451,A2,countries,krajów;krajach;kraje;krajami;państw
