front,back,lock,answer_only
Jak utworzyć instancję obiektu z konstruktora?,new,yes,yes
Jak dziedziczyć po klasie w JS?,extends,yes,yes
Jak wywołać konstruktor lub metodę klasy bazowej?,super,yes,yes
Jak obsłużyć wyjątki w JS?,try...catch;try/catch,yes,yes
Jak rzucić błąd ręcznie?,throw,yes,yes
Jak nazywa się obiekt reprezentujący operację asynchroniczną?,Promise,yes,yes
Jaka metoda Promise obsługuje sukces po zakończeniu?,then;then(),yes,yes
Jaka metoda Promise obsługuje błąd?,catch;catch(),yes,yes
Jaka metoda Promise wykona się zawsze na końcu?,finally;finally(),yes,yes
Jakie słowo kluczowe oznacza funkcję asynchroniczną?,async,yes,yes
Jakie słowo kluczowe czeka na wynik Promise w async?,await,yes,yes
Jaka funkcja robi żądania HTTP w przeglądarce i w Node?,fetch;fetch(),yes,yes
Jak opóźnić wykonanie kodu jednorazowo?,setTimeout;setTimeout(),yes,yes
Jak anulować wcześniej ustawiony timeout?,clearTimeout;clearTimeout(),yes,yes
Jak uruchomić kod cyklicznie co określony czas?,setInterval;setInterval(),yes,yes
Jak nazywa się mechanizm kolejki zdarzeń w JS?,event loop;event-loop,yes,yes
Jak zaimportować wartość z modułu ES?,import,yes,yes
Jak wyeksportować wartość z modułu ES?,export,yes,yes
Jak znaleźć pierwszy element w DOM selektorem CSS?,document.querySelector;document.querySelector(),yes,yes
Jak znaleźć wszystkie elementy w DOM selektorem CSS?,document.querySelectorAll;document.querySelectorAll(),yes,yes
Jak dodać nasłuchiwanie zdarzenia w DOM?,addEventListener;addEventListener(),yes,yes
Jak zablokować domyślne zachowanie zdarzenia?,preventDefault;preventDefault();event.preventDefault;event.preventDefault(),yes,yes
Jak zapisać wartość w localStorage?,localStorage.setItem;localStorage.setItem(),yes,yes
Jak odczytać wartość z localStorage?,localStorage.getItem;localStorage.getItem(),yes,yes
