front_text,back_text,explanation
Wydanie De revolutionibus – dzieło Mikołaja Kopernika (rok),1543,"„Wydanie De revolutionibus” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
II Statut litewski – reforma prawa Wielkiego Księstwa Litewskiego (rok),1566,"„II Statut litewski” było ważnym aktem prawnym porządkującym ustrój, administrację lub prawa obywatelskie. Długofalowo wpływało na funkcjonowanie państwa i relacje między grupami społecznymi."
Unia lubelska – powstanie Rzeczypospolitej Obojga Narodów (data),1569-07-01,"„Unia lubelska” stworzyła Rzeczpospolitą Obojga Narodów – państwo ze wspólnym sejmem i polityką zagraniczną. Zwiększyło to potencjał regionu, ale też podniosło złożoność ustrojową i wyzwania zarządcze."
Śmierć Zygmunta II Augusta – koniec Jagiellonów (rok),1572,"„Śmierć Zygmunta II Augusta” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Konfederacja warszawska – gwarancje tolerancji religijnej (data),1573-01-28,„Konfederacja warszawska” wprowadzała szerokie gwarancje tolerancji religijnej w epoce konfliktów wyznaniowych. Ułatwiło to stabilizację wewnętrzną i współistnienie różnych wspólnot.
Pierwsza wolna elekcja – wybór Henryka Walezego (data),1573-05,"„Pierwsza wolna elekcja” wyznaczał kierunek polityki państwa albo rozstrzygał spór o władzę. Skutki były widoczne w układzie rządów, reformach lub polityce zagranicznej."
Artykuły henrykowskie (data),1573-09,"„Artykuły henrykowskie” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Wybór Stefana Batorego na króla Polski (rok),1576,"„Wybór Stefana Batorego na króla Polski” wyznaczał kierunek polityki państwa albo rozstrzygał spór o władzę. Skutki były widoczne w układzie rządów, reformach lub polityce zagranicznej."
Utworzenie Trybunału Koronnego (rok),1578,"„Utworzenie Trybunału Koronnego” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Założenie Akademii Wileńskiej (rok),1579,"„Założenie Akademii Wileńskiej” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Wybór Zygmunta III Wazy (rok),1587,"„Wybór Zygmunta III Wazy” wyznaczał kierunek polityki państwa albo rozstrzygał spór o władzę. Skutki były widoczne w układzie rządów, reformach lub polityce zagranicznej."
III Statut litewski (rok),1588,"„III Statut litewski” było ważnym aktem prawnym porządkującym ustrój, administrację lub prawa obywatelskie. Długofalowo wpływało na funkcjonowanie państwa i relacje między grupami społecznymi."
Unia brzeska (rok),1596,„Unia brzeska” była formą integracji politycznej (dynastycznej lub instytucjonalnej) z innym państwem. Zmieniała układ sił w regionie i wpływała na ustrój oraz politykę zagraniczną.
Przeniesienie dworu królewskiego do Warszawy (rok),1596,"„Przeniesienie dworu królewskiego do Warszawy” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Początek wojen polsko-szwedzkich o Inflanty (rok),1600,"„Początek wojen polsko-szwedzkich o Inflanty” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Bitwa pod Kircholmem (data),1605-09-27,„Bitwa pod Kircholmem” była starciem zbrojnym istotnym dla układu sił w danym konflikcie. Zwykle przekładała się na zmianę inicjatywy strategicznej lub morale stron.
Rokosz Zebrzydowskiego (rok),1606,"„Rokosz Zebrzydowskiego” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Początek dymitriad – interwencja w państwie moskiewskim (rok),1609,"„Początek dymitriad” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Bitwa pod Kłuszynem (data),1610-07-04,„Bitwa pod Kłuszynem” była starciem zbrojnym istotnym dla układu sił w danym konflikcie. Zwykle przekładała się na zmianę inicjatywy strategicznej lub morale stron.
Hołd ruski w Warszawie (rok),1611,"„Hołd ruski w Warszawie” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Wyparcie wojsk Rzeczypospolitej z Moskwy (rok),1612,"„Wyparcie wojsk Rzeczypospolitej z Moskwy” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Rozejm w Dywilinie (rok),1618,"„Rozejm w Dywilinie” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Klęska pod Cecorą (data),1620-10-06,"„Klęska pod Cecorą” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Bitwa pod Chocimiem – zatrzymanie Osmanów (data),1621-10-09,"„Bitwa pod Chocimiem” była starciem zbrojnym – zatrzymanie Osmanów. Wynik wpływał na prestiż, granice lub dalszy przebieg konfliktu."
Bitwa pod Gniewem (rok),1626,„Bitwa pod Gniewem” była starciem zbrojnym istotnym dla układu sił w danym konflikcie. Zwykle przekładała się na zmianę inicjatywy strategicznej lub morale stron.
Rozejm w Altmarku (rok),1629,"„Rozejm w Altmarku” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Elekcja Władysława IV Wazy (rok),1632,"„Elekcja Władysława IV Wazy” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Pokój w Polanowie (rok),1634,"„Pokój w Polanowie” regulował relacje międzynarodowe. Ustalał warunki polityczne lub terytorialne, wpływając na sytuację w kolejnych latach."
Rozejm w Sztumskiej Wsi (rok),1635,"„Rozejm w Sztumskiej Wsi” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Powstanie Chmielnickiego – początek kryzysu Rzeczypospolitej (rok),1648,"„Powstanie Chmielnickiego” było zrywem zbrojnym, zwykle powiązanym z dążeniem do niepodległości. Skutki obejmowały zmiany społeczne, represje i wpływ na kolejne strategie działania."
Ugoda zborowska (rok),1649,"„Ugoda zborowska” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Bitwa pod Beresteczkiem (data),1651-06-28,„Bitwa pod Beresteczkiem” była starciem zbrojnym istotnym dla układu sił w danym konflikcie. Zwykle przekładała się na zmianę inicjatywy strategicznej lub morale stron.
Ugoda perejasławska – Ukraina pod protekcją Moskwy (rok),1654,"„Ugoda perejasławska” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Potop szwedzki – początek okupacji (rok),1655,"„Potop szwedzki” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Śluby lwowskie Jana Kazimierza (rok),1656,"„Śluby lwowskie Jana Kazimierza” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Traktaty welawsko-bydgoskie (rok),1657,"„Traktaty welawsko-bydgoskie” regulował relacje międzynarodowe. Ustalał warunki polityczne lub terytorialne, wpływając na sytuację w kolejnych latach."
Wygnanie arian z Rzeczypospolitej (rok),1658,"„Wygnanie arian z Rzeczypospolitej” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Pokój w Oliwie (rok),1660,"„Pokój w Oliwie” regulował relacje międzynarodowe. Ustalał warunki polityczne lub terytorialne, wpływając na sytuację w kolejnych latach."
Rokosz Lubomirskiego – konflikt z Janem Kazimierzem (rok),1665,"„Rokosz Lubomirskiego” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Rozejm w Andruszowie (rok),1667,"„Rozejm w Andruszowie” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Elekcja Michała Korybuta Wiśniowieckiego (rok),1669,"„Elekcja Michała Korybuta Wiśniowieckiego” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Traktat w Buczaczu (rok),1672,"„Traktat w Buczaczu” regulował relacje międzynarodowe. Ustalał warunki polityczne lub terytorialne, wpływając na sytuację w kolejnych latach."
Bitwa pod Chocimiem – zwycięstwo Jana Sobieskiego (data),1673-11-11,"„Bitwa pod Chocimiem” była starciem zbrojnym – zwycięstwo Jana Sobieskiego. Wynik wpływał na prestiż, granice lub dalszy przebieg konfliktu."
Wybór Jana III Sobieskiego na króla (rok),1674,"„Wybór Jana III Sobieskiego na króla” wyznaczał kierunek polityki państwa albo rozstrzygał spór o władzę. Skutki były widoczne w układzie rządów, reformach lub polityce zagranicznej."
Pokój w Żurawnie (rok),1676,"„Pokój w Żurawnie” regulował relacje międzynarodowe. Ustalał warunki polityczne lub terytorialne, wpływając na sytuację w kolejnych latach."
Odsiecz wiedeńska Jana III Sobieskiego (data),1683-09-12,"„Odsiecz wiedeńska Jana III Sobieskiego” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Pokój Grzymułtowskiego z Moskwą (rok),1686,"„Pokój Grzymułtowskiego z Moskwą” regulował relacje międzynarodowe. Ustalał warunki polityczne lub terytorialne, wpływając na sytuację w kolejnych latach."
Śmierć Jana III Sobieskiego (rok),1696,"„Śmierć Jana III Sobieskiego” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Elekcja Augusta II Mocnego (rok),1697,"„Elekcja Augusta II Mocnego” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Początek wojny północnej (rok),1700,"„Początek wojny północnej” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Detronizacja Augusta II i elekcja Stanisława Leszczyńskiego (rok),1704,"„Detronizacja Augusta II i elekcja Stanisława Leszczyńskiego” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Bitwa pod Połtawą – zwrot w wojnie północnej (rok),1709,"„Bitwa pod Połtawą” była starciem zbrojnym – zwrot w wojnie północnej. Wynik wpływał na prestiż, granice lub dalszy przebieg konfliktu."
Konfederacja tarnogrodzka (rok),1715,"„Konfederacja tarnogrodzka” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Sejm niemy (rok),1717,"„Sejm niemy” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Tumult toruński (rok),1724,"„Tumult toruński” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Traktat trzech czarnych orłów (rok),1732,"„Traktat trzech czarnych orłów” regulował relacje międzynarodowe. Ustalał warunki polityczne lub terytorialne, wpływając na sytuację w kolejnych latach."
Elekcja Stanisława Leszczyńskiego – wojna o sukcesję polską (rok),1733,"„Elekcja Stanisława Leszczyńskiego” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Elekcja Stanisława Augusta Poniatowskiego (rok),1764,"„Elekcja Stanisława Augusta Poniatowskiego” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Założenie Szkoły Rycerskiej (rok),1765,"„Założenie Szkoły Rycerskiej” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Sejm repninowski (rok),1767,"„Sejm repninowski” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Konfederacja barska (rok),1768,"„Konfederacja barska” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
I rozbiór Polski (rok),1772,„I rozbiór Polski” oznaczał utratę terytoriów na rzecz państw zaborczych. Osłabiał struktury państwa i pogłębiał kryzys polityczny Rzeczypospolitej.
Powołanie Komisji Edukacji Narodowej (rok),1773,"„Powołanie Komisji Edukacji Narodowej” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Utworzenie Rady Nieustającej (rok),1775,"„Utworzenie Rady Nieustającej” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Początek Sejmu Wielkiego (rok),1788,"„Początek Sejmu Wielkiego” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Sojusz polsko-pruski (rok),1790,"„Sojusz polsko-pruski” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Uchwalenie Konstytucji 3 maja (data),1791-05-03,„Uchwalenie Konstytucji 3 maja” była próbą wzmocnienia państwa po kryzysie ustrojowym i ograniczenia anarchii politycznej. Reformy wywołały opór części elit i stały się jednym z pretekstów do interwencji zewnętrznej.
Wojna w obronie Konstytucji 3 maja (rok),1792,„Wojna w obronie Konstytucji 3 maja” była próbą wzmocnienia państwa po kryzysie ustrojowym i ograniczenia anarchii politycznej. Reformy wywołały opór części elit i stały się jednym z pretekstów do interwencji zewnętrznej.
Bitwa pod Zieleńcami – ustanowienie Virtuti Militari (data),1792-06-18,"„Bitwa pod Zieleńcami” była starciem zbrojnym – ustanowienie Virtuti Militari. Wynik wpływał na prestiż, granice lub dalszy przebieg konfliktu."
II rozbiór Polski (rok),1793,„II rozbiór Polski” oznaczał utratę terytoriów na rzecz państw zaborczych. Osłabiał struktury państwa i pogłębiał kryzys polityczny Rzeczypospolitej.
Sejm grodzieński – zatwierdzenie II rozbioru (rok),1793,"„Sejm grodzieński” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
