external_id,front_text,explanation
0070,Jak definiujemy $\tg \alpha$ w trójkącie prostokątnym?,$\tg \alpha$ to stosunek długości przyprostokątnej leżącej naprzeciw kąta $\alpha$ do długości przyprostokątnej leżącej przy tym kącie: $\tg \alpha=\frac{\text{przyprostokątna naprzeciw }\alpha}{\text{przyprostokątna przy }\alpha}$.
0071,"Jak obliczamy $r$ w definicjach trygonometrycznych dla punktu $M(x,y)$?","Dla punktu $M(x,y)$ mamy $r=|OM|=\sqrt{x^2+y^2}>0$."
0072,"Jak definiujemy $\sin \alpha$ dla punktu $M(x,y)$?","Dla punktu $M(x,y)$ mamy $\sin \alpha=\frac{y}{r}$."
0073,"Jak definiujemy $\cos \alpha$ dla punktu $M(x,y)$?","Dla punktu $M(x,y)$ mamy $\cos \alpha=\frac{x}{r}$."
0074,"Jak definiujemy $\tg \alpha$ dla punktu $M(x,y)$?","Jeżeli $x\ne 0$, to $\tg \alpha=\frac{y}{x}$."
0075,Ile wynosi $\sin 0^\circ$?,$\sin 0^\circ=0$.
0076,Ile wynosi $\cos 0^\circ$?,$\cos 0^\circ=1$.
0077,Ile wynosi $\tg 0^\circ$?,$\tg 0^\circ=0$.
0078,Ile wynosi $\sin 30^\circ$?,$\sin 30^\circ=\frac{1}{2}$.
0079,Ile wynosi $\cos 30^\circ$?,$\cos 30^\circ=\frac{\sqrt{3}}{2}$.
0080,Ile wynosi $\tg 30^\circ$?,$\tg 30^\circ=\frac{\sqrt{3}}{3}$.
0081,Ile wynosi $\sin 45^\circ$?,$\sin 45^\circ=\frac{\sqrt{2}}{2}$.
0082,Ile wynosi $\cos 45^\circ$?,$\cos 45^\circ=\frac{\sqrt{2}}{2}$.
0083,Ile wynosi $\tg 45^\circ$?,$\tg 45^\circ=1$.
0084,Ile wynosi $\sin 60^\circ$?,$\sin 60^\circ=\frac{\sqrt{3}}{2}$.
0085,Ile wynosi $\cos 60^\circ$?,$\cos 60^\circ=\frac{1}{2}$.
0086,Ile wynosi $\tg 60^\circ$?,$\tg 60^\circ=\sqrt{3}$.
0087,Ile wynosi $\sin 90^\circ$?,$\sin 90^\circ=1$.
0088,Ile wynosi $\cos 90^\circ$?,$\cos 90^\circ=0$.
0089,Czy istnieje $\tg 90^\circ$?,$\tg 90^\circ$ nie istnieje.
0090,Jaki jest podstawowy związek między $\sin \alpha$ i $\cos \alpha$?,Zachodzi $\sin^2\alpha+\cos^2\alpha=1$.
0091,"Jaki jest związek między $\tg \alpha$, $\sin \alpha$ i $\cos \alpha$?","Zachodzi $\tg \alpha=\frac{\sin \alpha}{\cos \alpha}$, gdy wyrażenie jest określone."
0092,Kiedy wzór $\tg \alpha=\frac{\sin \alpha}{\cos \alpha}$ nie może być użyty?,"Tego wzoru nie używamy, gdy $\cos \alpha=0$."
0093,Jak oznaczamy połowę obwodu trójkąta $ABC$?,Połowę obwodu oznaczamy przez $p$ i obliczamy ze wzoru $p=\frac{a+b+c}{2}$.
0094,Jak brzmi twierdzenie Pitagorasa dla trójkąta $ABC$ z kątem prostym $\gamma$?,"Jeżeli kąt $\gamma$ jest prosty, to $a^2+b^2=c^2$."
0095,Jak brzmi twierdzenie odwrotne do twierdzenia Pitagorasa?,"Jeżeli w trójkącie $ABC$ zachodzi $a^2+b^2=c^2$, to kąt $\gamma$ jest kątem prostym."
0096,Jaki jest wzór z twierdzenia cosinusów dla boku $a$?,$a^2=b^2+c^2-2bc\cdot \cos \alpha$.
0097,Jaki jest wzór z twierdzenia cosinusów dla boku $b$?,$b^2=a^2+c^2-2ac\cdot \cos \beta$.
0098,Jaki jest wzór z twierdzenia cosinusów dla boku $c$?,$c^2=a^2+b^2-2ab\cdot \cos \gamma$.
0099,Jaki jest wzór na pole trójkąta z podstawą $a$ i wysokością $h_a$?,$P_{\Delta ABC}=\frac{1}{2}a\cdot h_a$.
0100,Jaki jest wzór na pole trójkąta z podstawą $b$ i wysokością $h_b$?,$P_{\Delta ABC}=\frac{1}{2}b\cdot h_b$.
0101,Jaki jest wzór na pole trójkąta z podstawą $c$ i wysokością $h_c$?,$P_{\Delta ABC}=\frac{1}{2}c\cdot h_c$.
0102,"Jaki jest wzór na pole trójkąta z bokami $a$, $b$ i kątem $\gamma$ między nimi?",$P_{\Delta ABC}=\frac{1}{2}ab\cdot \sin \gamma$.
0103,"Jaki jest wzór na pole trójkąta z bokami $b$, $c$ i kątem $\alpha$ między nimi?",$P_{\Delta ABC}=\frac{1}{2}bc\cdot \sin \alpha$.
0104,"Jaki jest wzór na pole trójkąta z bokami $c$, $a$ i kątem $\beta$ między nimi?",$P_{\Delta ABC}=\frac{1}{2}ca\cdot \sin \beta$.
0105,"Jaki jest wzór na wysokość $h_c$ w trójkącie prostokątnym z bokami $a,b,c$?",$h_c=\frac{ab}{c}$.
0106,Jaki jest wzór na promień $R$ okręgu opisanego na trójkącie prostokątnym?,$R=\frac{1}{2}c$.
0107,Jak można wyrazić bok $a$ przez przeciwprostokątną $c$ i kąt $\alpha$ w trójkącie prostokątnym?,$a=c\cdot \sin \alpha$.
0108,Jak można wyrazić bok $a$ przez przeciwprostokątną $c$ i kąt $\beta$ w trójkącie prostokątnym?,$a=c\cdot \cos \beta$.
0109,Jak można wyrazić bok $a$ przez bok $b$ i kąt $\alpha$ w trójkącie prostokątnym?,$a=b\cdot \tg \alpha$.
0110,Jak można wyrazić bok $a$ przez bok $b$ i kąt $\beta$ w trójkącie prostokątnym?,$a=b\cdot \frac{1}{\tg \beta}$.
0111,Jaki jest wzór na wysokość trójkąta równobocznego o boku $a$?,$h=\frac{a\sqrt{3}}{2}$.
0112,Jaki jest wzór na pole trójkąta równobocznego o boku $a$?,$P_{\Delta}=\frac{a^2\sqrt{3}}{4}$.
0113,Jaki jest wzór na promień $r$ okręgu wpisanego w trójkąt równoboczny?,$r=\frac{1}{3}h$.
0114,Jaki jest wzór na promień $R$ okręgu opisanego na trójkącie równobocznym?,$R=\frac{2}{3}h$.
0115,Na czym polega cecha podobieństwa trójkątów „bok–bok–bok”?,"Długości boków jednego trójkąta są proporcjonalne do odpowiednich długości boków drugiego, np. $\frac{|AB|}{|KL|}=\frac{|BC|}{|LM|}=\frac{|CA|}{|MK|}$."
0116,Na czym polega cecha podobieństwa trójkątów „bok–kąt–bok”?,"Dwie pary odpowiednich boków są proporcjonalne, a kąty między nimi są przystające, np. $\frac{|AB|}{|KL|}=\frac{|AC|}{|KM|}$ oraz $|\angle BAC|=|\angle LKM|$."
0117,Na czym polega cecha podobieństwa trójkątów „kąt–kąt–kąt”?,"Odpowiednie kąty obu trójkątów są przystające, np. $|\angle BAC|=|\angle LKM|$, $|\angle ABC|=|\angle KLM|$ oraz $|\angle ACB|=|\angle KML|$."
0118,"Jaki związek daje twierdzenie Talesa, gdy proste $AC$ i $BD$ są równoległe?","Jeżeli $AC \parallel BD$, to $\frac{|AB|}{|PA|}=\frac{|CD|}{|PC|}$."
0119,Jaki jest wzór na pole koła o promieniu $r$?,Pole koła wynosi $P=\pi r^2$.
0120,Jaki jest wzór na obwód koła o promieniu $r$?,Obwód koła wynosi $L=2\pi r$.
0121,Jaki jest wzór na pole wycinka koła o promieniu $r$ i kącie środkowym $\alpha$ w stopniach?,Pole wycinka wynosi $P=\frac{\alpha}{360^\circ}\cdot \pi r^2$.
0122,Jaki jest wzór na długość łuku wycinka koła o promieniu $r$ i kącie środkowym $\alpha$ w stopniach?,Długość łuku wynosi $L=\frac{\alpha}{360^\circ}\cdot 2\pi r$.
0123,Jaka jest zależność między kątem wpisanym i środkowym opartymi na tym samym łuku?,Miara kąta wpisanego jest równa połowie miary kąta środkowego opartego na tym samym łuku.
0124,Jaki jest szczególny przypadek kąta wpisanego opartego na półokręgu?,Kąt wpisany oparty na półokręgu jest kątem prostym.
0125,Co wiadomo o kątach wpisanych opartych na tym samym łuku?,Miary kątów wpisanych opartych na tym samym łuku są równe.
0126,Jaki jest wzór z twierdzenia o odcinkach stycznych?,"Jeżeli styczne do okręgu w punktach $A$ i $B$ przecinają się w punkcie $P$, to $|PA|=|PB|$."
0127,Czym jest trapez?,"Trapez to czworokąt, który ma co najmniej jedną parę boków równoległych."
0128,Jaki jest wzór na pole trapezu?,Pole trapezu wynosi $P=\frac{a+b}{2}\cdot h$.
0129,Czym jest równoległobok?,"Równoległobok to czworokąt, który ma dwie pary boków równoległych."
0130,Jaki jest wzór na pole równoległoboku z podstawą $a$ i wysokością $h$?,Pole równoległoboku wynosi $P=ah$.
0131,"Jaki jest wzór na pole równoległoboku z bokami $a,b$ i kątem $\alpha$?",Pole równoległoboku wynosi $P=a\cdot b\cdot \sin \alpha$.
0132,"Jaki jest wzór na pole równoległoboku z przekątnymi $AC$, $BD$ i kątem $\gamma$ między nimi?",Pole równoległoboku wynosi $P=\frac{1}{2}\cdot |AC|\cdot |BD|\cdot \sin \gamma$.
0133,Czym jest romb?,"Romb to czworokąt, który ma wszystkie boki jednakowej długości."
0134,Jaki jest wzór na pole rombu z bokiem $a$ i wysokością $h$?,Pole rombu wynosi $P=ah$.
0135,Jaki jest wzór na pole rombu z bokiem $a$ i kątem $\alpha$?,Pole rombu wynosi $P=a^2\cdot \sin \alpha$.
0136,Jaki jest wzór na pole rombu z przekątnymi $AC$ i $BD$?,Pole rombu wynosi $P=\frac{1}{2}\cdot |AC|\cdot |BD|$.
0137,Jaki jest związek pól figur podobnych w skali $k$?,"Jeżeli figura $\mathcal{B}$ o polu $P_{\mathcal{B}}$ jest podobna do figury $\mathcal{A}$ o polu $P_{\mathcal{A}}\ne 0$ w skali $k$, to $\frac{P_{\mathcal{B}}}{P_{\mathcal{A}}}=k^2$."
0138,"Jaki jest wzór na długość odcinka $AB$ o końcach $A=(x_A,y_A)$ oraz $B=(x_B,y_B)$?",Długość odcinka wynosi $|AB|=\sqrt{(x_B-x_A)^2+(y_B-y_A)^2}$.
0139,Jaki jest wzór na współrzędną $x_S$ środka odcinka $AB$?,"Jeżeli $S=(x_S,y_S)$ jest środkiem odcinka o końcach $A=(x_A,y_A)$ oraz $B=(x_B,y_B)$, to $x_S=\frac{x_A+x_B}{2}$."
0140,Jaki jest wzór na współrzędną $y_S$ środka odcinka $AB$?,"Jeżeli $S=(x_S,y_S)$ jest środkiem odcinka o końcach $A=(x_A,y_A)$ oraz $B=(x_B,y_B)$, to $y_S=\frac{y_A+y_B}{2}$."
0141,Kiedy prostą można opisać równaniem kierunkowym?,"Jeżeli prosta nie jest równoległa do osi $Oy$, to można ją opisać równaniem kierunkowym $y=ax+b$."
0142,Co oznacza liczba $a$ w równaniu kierunkowym prostej $y=ax+b$?,Liczba $a$ jest współczynnikiem kierunkowym prostej.
0143,Jaki jest związek współczynnika kierunkowego $a$ z kątem $\alpha$?,Zachodzi $a=\tg\alpha$.
0144,W jakim punkcie prosta $y=ax+b$ przecina oś $Oy$?,"Prosta $y=ax+b$ przecina oś $Oy$ w punkcie $(0,b)$."
0145,"Jakie jest równanie kierunkowe prostej o współczynniku kierunkowym $a$, przechodzącej przez punkt $P=(x_0,y_0)$?",Równanie tej prostej ma postać $y=a(x-x_0)+y_0$.
0146,"Jakie jest równanie kierunkowe prostej przechodzącej przez punkty $A=(x_A,y_A)$ oraz $B=(x_B,y_B)$?","Równanie ma postać $y-y_A=a(x-x_A)$, gdzie $a=\frac{y_B-y_A}{x_B-x_A}$ przy warunku $x_B\ne x_A$."
0147,Jaką postać ma równanie ogólne prostej?,"Równanie ogólne prostej ma postać $Ax+By+C=0$, gdzie $A,B,C\in\mathbb{R}$ oraz $A^2+B^2\ne0$."
0148,Co wynika z warunku $A=0$ w równaniu ogólnym prostej $Ax+By+C=0$?,"Jeżeli $A=0$, to prosta jest równoległa do osi $Ox$."
0149,Co wynika z warunku $B=0$ w równaniu ogólnym prostej $Ax+By+C=0$?,"Jeżeli $B=0$, to prosta jest równoległa do osi $Oy$."
0150,Co wynika z warunku $C=0$ w równaniu ogólnym prostej $Ax+By+C=0$?,"Jeżeli $C=0$, to prosta przechodzi przez początek układu współrzędnych."
0151,"Jakie jest równanie ogólne prostej przechodzącej przez punkty $A=(x_A,y_A)$ oraz $B=(x_B,y_B)$?",Równanie ma postać $(y-y_A)(x_B-x_A)-(y_B-y_A)(x-x_A)=0$.
0152,Kiedy dwie proste w postaci kierunkowej $y=a_1x+b_1$ oraz $y=a_2x+b_2$ są równoległe?,"Dwie takie proste są równoległe wtedy i tylko wtedy, gdy $a_1=a_2$."
0153,Kiedy dwie proste w postaci ogólnej $A_1x+B_1y+C_1=0$ oraz $A_2x+B_2y+C_2=0$ są równoległe?,"Dwie takie proste są równoległe wtedy i tylko wtedy, gdy $A_1B_2-A_2B_1=0$."
0154,"Jakie jest równanie okręgu o środku $S=(a,b)$ i promieniu $r>0$ w postaci kanonicznej?",Równanie kanoniczne okręgu ma postać $(x-a)^2+(y-b)^2=r^2$.
0155,"Jak symetria osiowa względem osi $Ox$ przekształca punkt $P=(x,y)$?","Symetria względem osi $Ox$ przekształca punkt $P=(x,y)$ na punkt $P'=(x,-y)$."
0156,"Jak symetria osiowa względem osi $Oy$ przekształca punkt $P=(x,y)$?","Symetria względem osi $Oy$ przekształca punkt $P=(x,y)$ na punkt $P'=(-x,y)$."
0157,"Jak symetria środkowa względem początku układu współrzędnych przekształca punkt $P=(x,y)$?","Symetria środkowa względem początku układu współrzędnych przekształca punkt $P=(x,y)$ na punkt $P'=(-x,-y)$."
0158,Co oznacza $P_c$ w dziale stereometrii?,Symbol $P_c$ oznacza pole powierzchni całkowitej.
0159,Co oznacza $P_b$ w dziale stereometrii?,Symbol $P_b$ oznacza pole powierzchni bocznej.
0160,Co oznacza $P_p$ w dziale stereometrii?,Symbol $P_p$ oznacza pole podstawy.
0161,Co oznacza $V$ w dziale stereometrii?,Symbol $V$ oznacza objętość.
0162,Jaki jest wzór na pole powierzchni całkowitej prostopadłościanu?,"Jeżeli $a,b,c$ są długościami krawędzi prostopadłościanu, to $P_c=2(ab+bc+ca)$."
0163,Jaki jest wzór na objętość prostopadłościanu?,"Jeżeli $a,b,c$ są długościami krawędzi prostopadłościanu, to $V=abc$."
0164,Jaki jest wzór na pole powierzchni bocznej graniastosłupa prostego?,"Pole powierzchni bocznej graniastosłupa prostego wynosi $P_b=O_b\cdot h$, gdzie $O_b$ jest obwodem podstawy, a $h$ wysokością graniastosłupa."
0165,Jaki jest wzór na objętość graniastosłupa prostego?,"Objętość graniastosłupa prostego wynosi $V=P_p\cdot h$, gdzie $P_p$ jest polem podstawy, a $h$ wysokością graniastosłupa."
0166,Jaki jest wzór na objętość ostrosłupa?,"Objętość ostrosłupa wynosi $V=\frac{1}{3}\cdot P_p\cdot h$, gdzie $h$ jest wysokością ostrosłupa."
0167,Jaki jest wzór na pole powierzchni bocznej walca?,Pole powierzchni bocznej walca wynosi $P_b=2\pi rh$.
0168,Jaki jest wzór na pole powierzchni całkowitej walca?,Pole powierzchni całkowitej walca wynosi $P_c=2\pi r(r+h)$.
0169,Jaki jest wzór na objętość walca?,Objętość walca wynosi $V=\pi r^2h$.
0170,Co oznacza $r$ we wzorach na walec?,Symbol $r$ oznacza promień podstawy walca.
0171,Co oznacza $h$ we wzorach na walec?,Symbol $h$ oznacza wysokość walca.
0172,Jaki jest wzór na pole powierzchni bocznej stożka?,Pole powierzchni bocznej stożka wynosi $P_b=\pi rl$.
