type,front_text,back_text
traditional,hardworking,pracowity
traditional,smart,inteligentny
traditional,honest,uczciwy
traditional,patient,cierpliwy
traditional,calm,spokojny
traditional,friendly,przyjazny
traditional,rude,niegrzeczny
traditional,polite,uprzejmy
traditional,red,czerwony
traditional,blue,niebieski
traditional,green,zielony
traditional,yellow,żółty
traditional,black,czarny
traditional,white,biały
traditional,gray,szary
traditional,brown,brązowy
traditional,pink,różowy
traditional,purple,fioletowy
traditional,orange,pomarańczowy
traditional,light,jasny
traditional,dark,ciemny
traditional,big,duży
traditional,small,mały
traditional,new,nowy
traditional,good,dobry
traditional,bad,zły
traditional,shirt,koszula
traditional,tshirt,koszulka
traditional,sweater,sweter
traditional,jacket,kurtka
traditional,coat,płaszcz
traditional,pants,spodnie
traditional,jeans,dżinsy
traditional,dress,sukienka
traditional,skirt,spódnica
traditional,shoes,buty
traditional,socks,skarpetki
traditional,hat,czapka
traditional,scarf,szalik
traditional,gloves,rękawiczki
traditional,size,rozmiar
traditional,small,mały
traditional,medium,średni
traditional,large,duży
traditional,home,dom
traditional,apartment,mieszkanie
traditional,room,pokój
traditional,kitchen,kuchnia
traditional,bathroom,łazienka
traditional,bedroom,sypialnia
traditional,livingroom,salon
traditional,hallway,korytarz
traditional,balcony,balkon
traditional,garden,ogród
traditional,basement,piwnica
traditional,attic,strych
traditional,stairs,schody
traditional,floor,piętro
traditional,door,drzwi
traditional,window,okno
traditional,bed,łóżko
traditional,table,stół
traditional,chair,krzesło
traditional,sofa,kanapa
traditional,wardrobe,szafa
traditional,desk,biurko
traditional,lamp,lampa
traditional,fridge,lodówka
traditional,freezer,zamrażarka
traditional,oven,piekarnik
traditional,stove,kuchenka
traditional,microwave,mikrofalówka
traditional,kettle,czajnik
traditional,dishwasher,zmywarka
traditional,washingmachine,pralka
traditional,shower,prysznic
traditional,toilet,toaleta
traditional,sink,umywalka
traditional,wake,budzić się
traditional,sleep,spać
traditional,eat,jeść
traditional,drink,pić
traditional,work,pracować
traditional,study,uczyć się
traditional,go,iść
traditional,come,przyjść
traditional,leave,wyjść
traditional,return,wrócić
traditional,read,czytać
traditional,write,pisać
traditional,learn,uczyć się
traditional,play,grać
traditional,rest,odpoczywać
traditional,cook,gotować
traditional,clean,sprzątać
traditional,shower,myć się
traditional,bread,chleb
traditional,milk,mleko
traditional,water,woda
traditional,coffee,kawa
traditional,tea,herbata
traditional,juice,sok
traditional,meat,mięso
traditional,fish,ryba
traditional,cheese,ser
traditional,eggs,jajka
traditional,butter,masło
traditional,salt,sól
traditional,sugar,cukier
traditional,pepper,pieprz
traditional,oil,olej
traditional,rice,ryż
traditional,pasta,makaron
traditional,apple,jabłko
traditional,banana,banan
traditional,tomato,pomidor
traditional,potato,ziemniak
traditional,vegetables,warzywa
traditional,fruit,owoce
traditional,menu,menu
traditional,waiter,kelner
traditional,table,stolik
traditional,order,zamówienie
traditional,bill,rachunek
traditional,tip,napiwek
traditional,reservation,rezerwacja
traditional,dessert,deser
traditional,soup,zupa
traditional,salad,sałatka
traditional,steak,stek
traditional,coffee,kawa
traditional,tea,herbata
traditional,cup,kubek
traditional,plate,talerz
traditional,fork,widelec
traditional,knife,nóż
traditional,spoon,łyżka
traditional,store,sklep
traditional,market,rynek
traditional,supermarket,supermarket
traditional,checkout,kasa
traditional,basket,koszyk
traditional,bag,torba
traditional,price,cena
traditional,discount,zniżka
traditional,sale,wyprzedaż
traditional,receipt,paragon
traditional,cash,gotówka
traditional,card,karta
traditional,bank,bank
traditional,atm,bankomat
traditional,change,reszta
traditional,refund,zwrot
traditional,exchange,wymiana
traditional,warranty,gwarancja
traditional,station,dworzec
traditional,airport,lotnisko
traditional,hotel,hotel
traditional,hospital,szpital
traditional,pharmacy,apteka
traditional,bank,bank
traditional,postoffice,poczta
traditional,police,policja
traditional,museum,muzeum
traditional,park,park
traditional,restaurant,restauracja
traditional,toilet,toaleta
traditional,library,biblioteka
traditional,school,szkoła
traditional,office,biuro
traditional,church,kościół
traditional,cinema,kino
traditional,shop,sklep
traditional,left,lewo
traditional,right,prawo
traditional,straight,prosto
traditional,near,blisko
traditional,far,daleko
traditional,behind,za
traditional,front,przód
traditional,between,pomiędzy
traditional,next,następny
traditional,corner,róg
traditional,street,ulica
traditional,road,droga
traditional,map,mapa
traditional,address,adres
traditional,center,centrum
traditional,entrance,wejście
traditional,exit,wyjście
traditional,ticket,bilet
traditional,bus,autobus
traditional,tram,tramwaj
traditional,train,pociąg
traditional,subway,metro
traditional,taxi,taksówka
traditional,stop,przystanek
traditional,platform,peron
traditional,schedule,rozkład
traditional,departure,odjazd
traditional,arrival,przyjazd
traditional,seat,miejsce
traditional,luggage,bagaż
traditional,passport,paszport
traditional,border,granica
traditional,trip,podróż
traditional,travel,podróżować
traditional,room,pokój
traditional,key,klucz
traditional,reception,recepcja
traditional,reservation,rezerwacja
traditional,breakfast,śniadanie
traditional,elevator,winda
traditional,stairs,schody
traditional,floor,piętro
traditional,bathroom,łazienka
traditional,towel,ręcznik
traditional,pillow,poduszka
traditional,blanket,koc
traditional,wifi,wi-fi
traditional,password,hasło
traditional,lobby,hol
traditional,checkout,wymeldowanie
traditional,checkin,zameldowanie
traditional,head,głowa
traditional,eye,oko
traditional,ear,ucho
traditional,nose,nos
traditional,mouth,usta
traditional,tooth,ząb
traditional,neck,szyja
traditional,shoulder,ramię
traditional,arm,ręka
traditional,hand,dłoń
traditional,finger,palec
traditional,chest,klatka
traditional,back,plecy
traditional,stomach,brzuch
traditional,leg,noga
traditional,knee,kolano
traditional,foot,stopa
traditional,pain,ból
traditional,fever,gorączka
traditional,cough,kaszel
traditional,cold,przeziębienie
traditional,flu,grypa
traditional,allergy,alergia
traditional,medicine,lek
traditional,doctor,lekarz
traditional,nurse,pielęgniarka
traditional,appointment,wizyta
traditional,emergency,nagły
traditional,sick,chory
traditional,hurt,boleć
traditional,burn,oparzenie
traditional,cut,skaleczenie
traditional,infection,infekcja
traditional,tablet,tabletka
traditional,syrup,syrop
traditional,sun,słońce
traditional,rain,deszcz
traditional,snow,śnieg
traditional,wind,wiatr
traditional,cloud,chmura
traditional,storm,burza
traditional,hot,gorąco
traditional,cold,zimno
traditional,warm,ciepło
traditional,wet,mokro
traditional,dry,sucho
traditional,umbrella,parasol
traditional,coat,płaszcz
traditional,jacket,kurtka
traditional,boots,buty
traditional,scarf,szalik
traditional,gloves,rękawiczki
traditional,music,muzyka
traditional,movie,film
traditional,series,serial
traditional,game,gra
traditional,sport,sport
traditional,reading,czytanie
traditional,running,bieganie
traditional,swimming,pływanie
traditional,cooking,gotowanie
traditional,travel,podróże
traditional,photography,fotografia
traditional,walking,spacer
traditional,gym,siłownia
traditional,dance,taniec
traditional,drawing,rysowanie
traditional,hiking,wędrówka
traditional,work,praca
traditional,office,biuro
traditional,meeting,spotkanie
traditional,boss,szef
traditional,colleague,kolega
traditional,project,projekt
traditional,task,zadanie
traditional,deadline,termin
traditional,salary,pensja
traditional,school,szkoła
traditional,class,klasa
traditional,lesson,lekcja
traditional,teacher,nauczyciel
traditional,student,uczeń
traditional,homework,zadanie
traditional,exam,egzamin
traditional,break,przerwa
traditional,help,pomoc
traditional,lost,zgubiony
traditional,danger,niebezpieczeństwo
traditional,fire,pożar
traditional,police,policja
traditional,ambulance,karetka
traditional,accident,wypadek
traditional,thief,złodziej
traditional,wallet,portfel
traditional,phone,telefon
traditional,call,dzwonić
traditional,stop,stop
traditional,quiet,cisza
traditional,panic,panika
traditional,emergency,awaria
