external_id,front_text,back_text,explanation
0032,Jak nazywa się teleskop kosmiczny uruchomiony w 1990?,Hubble,
0033,Jaka sonda minęła Plutona w 2015?,New Horizons,
0034,Planeta karłowata w pasie planetoid?,Ceres,
0035,Region za Neptunem z Plutonem?,Pas Kuipera,
0036,Jak nazywa się obłok obiegający Słońce,Oorta,"hipotetyczny, sferyczny obłok, składający się z pyłu, drobnych okruchów i planetoid obiegających Słońce w odległości od 300 do 100 000 j.a. "
0037,Jak nazywa się granica wpływu wiatru słonecznego?,heliopauza,
0038,Jak nazywa się jednostka 1 pc?,parsek,"jeden parsek to około 3,2616 lat świetlnych "
0039,Jak nazywa się 'spadająca gwiazda'?,meteor,
0040,"Jak nazywa się obiekt, który spadł na Ziemię?",meteoryt,
0041,Jak nazywa się obiekt w kosmosie przed wejściem w atmosferę?,meteoroid,
0042,W jakim gwiazdozbiorze jest Wielki Wóz?,Wielka Niedźwiedzica,
0043,"Prędkość światła w próżni (km/s, zaokrąglona)?",300000,"Dokładnie: 299 792 km/s, zwykle zaokrągla się do 300 000 km/s."
0044,Jak nazywa się obszar planetoid między Marsem a Jowiszem?,Pas Główny,
0045,Jak nazywa się gwiazda w centrum Układu Słonecznego?,Słońce,
0046,Co jest większe: Księżyc czy Merkury?,Merkury,Średnice: Merkury: 4879km. Księżyc 3474km. 
0047,Co jest większe: Wenus czy Ziemia?,Ziemia,Średnice: Wenus:12104km. Ziemia: 12756km
0048,Co jest większe: Uran czy Neptun?,Uran,Średnice: Uran: 51118km. Neptun: 49526km
0049,Co jest większe: Pluton czy Księżyc?,Księżyc,Średnice: Księżyc: 3474km. Pluton: 2370 km
0050,Średnia odległość Ziemi od Księżyca (km)?,384400,"Średnio ok. 384 400 km (orbita eliptyczna, więc odległość się zmienia)."
0051,Ile dni trwa obieg Merkurego wokół Słońca?,88,
0052,Ile dni trwa obieg Wenus wokół Słońca?,225,
0053,Ile lat trwa obieg Jowisza wokół Słońca?,11.9,
0054,Ile lat trwa obieg Saturna wokół Słońca?,29.5,
0055,Ile lat trwa obieg Neptuna wokół Słońca?,164.8,
0056,Ile godzin trwa jeden dzień na Wenus?,5832,
0057,Ile godzin trwa jeden dzień na Jowiszu?,9.9,
0058,Jaką średnicę ma Droga Mleczna? (lat świetlnych),100000,To przybliżona szerokość głównego dysku naszej galaktyki.
0059,Jak nazywa się czarna dziura w centrum Drogi Mlecznej?,Sagittarius A*,Często zapisuje się ją skrótem Sgr A*.
0060,Jakiego rodzaju galaktyką jest Droga Mleczna,spiralną,Ma ramiona spiralne i centralne zgrubienie.
0061,Jak nazywa się pierwszy człowiek w kosmosie?,Jurij Gagarin,Poleciał w 1961 roku.
0062,Jak nazywała się pierwsza kobieta w kosmosie?,Walentina Tierieszkowa,Poleciała w 1963 roku.
0063,Kto wykonał pierwszy spacer kosmiczny?,Aleksiej Leonow,Wyszedł poza statek kosmiczny w 1965 roku.
0064,Kto jako pierwszy stanął na Księżycu?,Neil Armstrong,Stało się to podczas misji Apollo 11.
0065,Jak nazywała się misja pierwszego lądowania ludzi na Księżycu?,Apollo 11,Wylądowała na Księżycu w 1969 roku.
0066,Kto był drugim człowiekiem na Księżycu?,Buzz Aldrin,Zszedł na powierzchnię po Neilu Armstrongu.
0067,Kto był pierwszym Polakiem w kosmosie?,Mirosław Hermaszewski,Poleciał w 1978 roku.
0068,Jak nazywał się pierwszy sztuczny satelita Ziemi?,Sputnik 1,Został wystrzelony przez ZSRR w 1957 roku.
0069,Jak nazywał się pierwszy pies na orbicie okołoziemskiej?,Łajka,Poleciała na pokładzie Sputnika 2.
0070,Jak nazywała się pierwsza stacja kosmiczna?,Salut 1,Była radziecką stacją orbitalną.
0071,Jaki kraj pierwszy miękko wylądował na Wenus?,ZSRR,Zrobiła to sonda Venera 7.
0072,"Jak nazywała się pierwsza sonda, która miękko wylądowała na Wenus?","Venera 7","Była pierwszą sondą która przesłała dane z powierzchni innej planety."
0073,Jaki kraj wykonał pierwsze naprawdę udane lądowanie na Marsie?,USA,Chodzi o misję Viking 1.
0074,Jak nazywał się pierwszy udany lądownik marsjański?,Viking 1,Wylądował na Marsie w 1976 roku.
0075,Jaka sonda jako pierwsza weszła na orbitę innej planety?,Mariner 9,Weszła na orbitę Marsa.
0076,Jaka sonda jako pierwsza przeleciała obok innej planety?,Mariner 2,Przeleciała obok Wenus.
0077,Na jakiej planetoidzie wylądowała sonda NEAR Shoemaker?,Eros, Dokonała lądowania na powierzchni planetoidy 12 lutego 2001 roku
0078,Co dla 'obcych' mają sondy Voyager?,Złota Płyta,Zawiera obrazy i dźwięki z Ziemi.
0079,Która sonda jest najdalszym działającym obiektem wysłanym przez człowieka?,Voyager 1,"Jest dalej od Ziemi niż jakakolwiek inna działająca sonda, znajduje się obecnie ponad 25 miliardów kilometrów."
0080,Która sonda jako jedyna odwiedziła Urana i Neptuna?,Voyager 2,Żadna inna sonda nie przeleciała tak blisko obu tych planet.
0081,W którym roku wystrzelono sondy Voyager?,1977,Voyager 1 i Voyager 2 wystartowały w tym samym roku.
0082,Która sonda pierwsza weszła w przestrzeń międzygwiazdową?,Voyager 1,Opuściła główny obszar wpływu wiatru słonecznego.
0083,Jak nazywa się sonda NASA badająca Jowisza od orbity polarnej?,Juno,Juno bada atmosferę pole magnetyczne i wnętrze Jowisza.
0084,Jaka misja przez wiele lat badała Saturna?,Cassini,Cassini krążyła wokół Saturna i badała jego księżyce.
0085,Jaka sonda podleciała najbliżej Słońca?,Parker Solar Probe,"To sonda zaprojektowana do badania zewnętrznej atmosfery Słońca. została zaprojektowana, aby wytrzymać ekstremalne temperatury dochodzące do prawie 1400 stopni Celsjusza."
0086,W jakim punkcie pracuje teleskop Jamesa Webba?,L2, "Punkt Lagrange’a to miejsce w przestrzeni, w układzie dwóch ciał, gdzie przyciąganie grawitacyjne obu ciał równoważy siłę odśrodkową działającą na mały obiekt"
0087,Jak nazywa się planeta poza Układem Słonecznym?,egzoplaneta,To planeta krążąca wokół innej gwiazdy niż Słońce.
0088,Jak nazywa się pierwszy sfotografowany obiekt typu czarna dziura?,M87*,To czarna dziura w galaktyce Messier 87.
0089,Jak szybko Międzynarodowa Stacja Kosmiczna okrąża Ziemię? (minut), 90, "porusza się z prędkością 28 000 km/h".
0090,Ile osób zwykle mieszka i pracuje na ISS?,7,Liczba załogi może się zmieniać podczas wymian.
0091,Około jak wysoko nad Ziemią krąży ISS? (km),400,To niska orbita okołoziemska.
0092,Z jaką prędkością porusza się ISS? (km/h),28000,Dzięki temu stacja utrzymuje się na orbicie.
0093,Jak nazywa się chińska stacja kosmiczna?,Tiangong,Nazwa oznacza mniej więcej Niebiański Pałac.
0094,Jak nazywał się wahadłowiec który wyniósł Hubble’a?,Discovery,Hubble został wyniesiony podczas misji STS 31.
0095,Jak nazywa się księżyc Jowisza z aktywnymi wulkanami?,Io,Io jest jednym z najbardziej wulkanicznych światów w Układzie Słonecznym.
0096,Jak nazywa się duży księżyc Jowisza pokryty wieloma kraterami?,Kallisto,To jeden z czterech księżyców galileuszowych.
0097,Kto odkrył cztery największe księżyce Jowisza?,Galileusz,Odkrył je w 1610 roku.
0098,Jak nazywa się największy wulkan w Układzie Słonecznym?,Olympus Mons,Znajduje się na Marsie. Wznosi się na ponad 21 km (ponad 2x wyższy niż Everest)
0099,Jak nazywał się pierwszy łazik marsjański?,Sojourner,Był częścią misji Mars Pathfinder.
0100,Jak nazywa się największa planeta karłowata w pasie Kuipera?,Pluton,Pluton jest jednym z najbardziej znanych obiektów pasa Kuipera.
0101,Jak nazywa się największy znany obiekt w pasie planetoid?,Ceres,Ceres jest planetą karłowatą i największym obiektem pasa planetoid.
0102,Jak często mniej więcej kometa Halleya wraca w okolice Słońca? (lat),76,Jest kometą okresową.
0103,Jak nazywa się jasna planeta często widoczna wieczorem lub rano?,Wenus,Dlatego bywa nazywana Gwiazdą Wieczorną lub Poranną.
0104,Jak nazywa się planeta z Wielką Czerwoną Plamą?,Jowisz,Wielka Czerwona Plama to ogromna burza w atmosferze Jowisza.
0105,Która planeta odwraca sie 'bokiem',Uran, "Taka geometria sprawia, że bieguny planety przez ok. 42 lata są nieustannie oświetlone przez Słońce, a przez kolejne 42 lata pogrążone w całkowitej ciemności"
0106,Jak nazywa się największy księżyc Plutona?,Charon,Charon jest na tyle duży że Pluton i Charon tworzą nietypowy układ.
0107,Jak nazywa się pierwszy znany obiekt międzygwiazdowy przelatujący przez Układ Słoneczny?,ʻOumuamua,"Posiada ekstremalnie wydłużony kształt, przypominający cygaro lub dysk, co jest rzadko spotykane wśród ciał niebieskich w naszym systemie."
