external_id,type,front_text,back_text,tf_answer,explanation
react_intermediate_effect_cleanup_keyword,traditional,"Co powinien zwrócić callback `useEffect`, jeśli chcesz wykonać cleanup?",function,,"Funkcja zwrócona z `useEffect` uruchamia się przy sprzątaniu efektu, np. przed odsubskrybowaniem lub ponownym efektem."
react_intermediate_effect_empty_deps,traditional,Jak zapisuje się pustą tablicę zależności w `useEffect`?,[],,"Pusta tablica zależności mówi Reactowi, że efekt nie używa reaktywnych wartości, które zmieniają się między renderami. W produkcji taki efekt zwykle uruchamia się po montowaniu, a w dev StrictMode może zostać uruchomiony dodatkowo."
react_intermediate_portal_function,traditional,Jakiej funkcji używa się do renderowania elementu poza aktualnym miejscem w drzewie DOM?,createPortal(),,"Portal pozwala renderować np. modal do osobnego kontenera, takiego jak `document.body`."
react_intermediate_lazy_function,traditional,Jakiej funkcji React używa się do leniwego ładowania komponentu przez dynamiczny import?,lazy(),,"`lazy()` pozwala podzielić kod i ładować komponent dopiero wtedy, gdy jest potrzebny."
react_intermediate_suspense_component,traditional,Jakim komponentem otacza się komponent ładowany przez `lazy()`?,Suspense,,"`<Suspense fallback={...}>` pokazuje fallback, dopóki leniwy komponent się ładuje."
react_intermediate_error_boundary_method,traditional,Jaka metoda klasy może obsłużyć błąd w error boundary?,componentDidCatch(),,Error boundary w React nadal tworzy się jako komponent klasowy z metodami takimi jak `componentDidCatch`.
react_intermediate_key_not_prop,traditional,"Jaką nazwę ma specjalny props listy, którego komponent dziecka nie odczyta normalnie z `props`?",key,,`key` jest używany przez React wewnętrznie i nie trafia do komponentu jako zwykły props.
react_tf_component_uppercase_required,true_false,Nazwa własnego komponentu React powinna zaczynać się wielką literą.,,true,"Mała litera jest traktowana jak zwykły tag HTML, np. `<div>`. Własne komponenty zapisuje się np. jako `<UserCard />`."
react_tf_props_mutable,true_false,Komponent powinien bezpośrednio modyfikować otrzymane `props`.,,false,"`props` są traktowane jako dane tylko do odczytu. Zmiany powinny iść przez stan, callbacki albo dane z rodzica."
react_tf_state_change_rerender,true_false,Aktualizacja stanu przez setter z `useState` zwykle powoduje ponowny render komponentu.,,true,"React renderuje komponent ponownie, aby UI mógł odzwierciedlić nową wartość stanu."
react_tf_direct_state_mutation_ok,true_false,"Bezpośrednia mutacja obiektu w stanie, np. `user.name = ""Ala""`, jest zalecanym sposobem aktualizacji stanu.",,false,"Stan należy aktualizować niemutowalnie, np. przez utworzenie nowego obiektu."
react_tf_hooks_inside_if,true_false,"Hooki można bezpiecznie wywoływać wewnątrz instrukcji `if`, jeśli warunek jest prosty.",,false,"Hooki powinny być wywoływane na najwyższym poziomie komponentu, zawsze w tej samej kolejności."
react_tf_hooks_top_level,true_false,Hooki powinny być wywoływane na najwyższym poziomie komponentu funkcyjnego lub własnego hooka.,,true,Stała kolejność wywołań pozwala Reactowi poprawnie powiązać stan i efekty z komponentem.
react_tf_useeffect_no_deps_every_render,true_false,`useEffect` bez tablicy zależności uruchamia się po każdym renderze.,,true,"Brak drugiego argumentu oznacza, że efekt nie jest ograniczony zależnościami."
react_tf_useeffect_empty_deps_once_prod,true_false,`useEffect` z pustą tablicą zależności zwykle uruchamia się po montowaniu komponentu w produkcji.,,true,"W trybie deweloperskim ze Strict Mode efekt może uruchomić się dodatkowo, aby wykryć problemy z cleanupem."
react_tf_key_unique_global,true_false,`key` musi być unikalny globalnie w całej aplikacji.,,false,"`key` musi być unikalny przede wszystkim wśród elementów tej samej listy, czyli między rodzeństwem."
react_tf_index_key_always_best,true_false,Indeks tablicy jest zawsze najlepszą wartością dla `key`.,,false,"Indeks bywa problematyczny, gdy lista może zmieniać kolejność, dodawać lub usuwać elementy."
react_tf_classname_in_jsx,true_false,W JSX zamiast `class` używa się `className`.,,true,`className` odpowiada HTML-owemu atrybutowi klasy CSS.
react_tf_htmlfor_in_jsx,true_false,W JSX zamiast `for` w `<label>` używa się `htmlFor`.,,true,`htmlFor` wskazuje pole formularza powiązane z etykietą.
react_tf_controlled_input,true_false,Kontrolowany input zwykle ma wartość przekazaną przez `value` oraz aktualizację przez `onChange`.,,true,W takim układzie źródłem prawdy dla inputa jest stan Reacta.
react_tf_ref_change_rerender,true_false,Zmiana wartości `ref.current` automatycznie powoduje rerender komponentu.,,false,"`useRef` przechowuje mutowalną wartość, ale jej zmiana nie uruchamia renderu."
react_tf_context_all_rerenders_stop,true_false,React Context automatycznie usuwa problem wszystkich zbędnych rerenderów w aplikacji.,,false,"Context ułatwia przekazywanie danych, ale zmiana wartości providera może nadal powodować rerendery konsumentów."
react_tf_react_memo_always_prevents,true_false,`React.memo` zawsze zatrzymuje rerender komponentu.,,false,"`React.memo` porównuje propsy płytko i nie pomaga w każdej sytuacji, szczególnie przy nowych referencjach obiektów lub funkcji."
react_tf_usememo_always_good,true_false,`useMemo` zawsze przyspiesza aplikację i powinno być używane przy każdej wartości.,,false,Memoizacja ma koszt. Używa się jej głównie dla kosztownych obliczeń albo stabilnych referencji potrzebnych do optymalizacji.
react_tf_lifting_state_up,true_false,"Lifting state up oznacza przeniesienie stanu do najbliższego wspólnego rodzica komponentów, które go potrzebują.",,true,Dzięki temu kilka komponentów może korzystać z jednego wspólnego źródła danych.
react_tf_props_can_be_functions,true_false,Propsy mogą być funkcjami przekazywanymi z rodzica do dziecka.,,true,"To częsty sposób komunikacji dziecka z rodzicem, np. przez `onSave` albo `onClick`."
react_tf_fragment_adds_div,true_false,React Fragment dodaje dodatkowy element `<div>` do DOM.,,false,Fragment grupuje elementy bez tworzenia dodatkowego węzła DOM.
react_tf_onclick_call_immediately,true_false,Zapis `onClick={handleClick()}` przekazuje funkcję do kliknięcia bez jej natychmiastowego uruchamiania.,,false,`handleClick()` wywołuje funkcję podczas renderu. Zwykle przekazuje się `onClick={handleClick}` albo `onClick={() => handleClick()}`.
react_tf_dangerously_set_inner_html,true_false,`dangerouslySetInnerHTML` pozwala wstawić surowy HTML do komponentu.,,true,"Ta funkcja omija normalne escapowanie Reacta i wymaga ostrożności, szczególnie przy danych od użytkownika."
react_tf_error_boundary_event_handlers,true_false,"Error boundary łapie błędy rzucone w event handlerach, np. w `onClick`.",,false,"Error boundaries łapią błędy podczas renderowania, w lifecycle i konstruktorach komponentów potomnych, ale nie w event handlerach."
react_tf_suspense_lazy,true_false,`Suspense` może obsługiwać fallback dla komponentów ładowanych przez `React.lazy`.,,true,"`fallback` pokazuje UI zastępczy, dopóki leniwy komponent nie zostanie załadowany."
react_tf_usereducer_complex_state,true_false,"`useReducer` bywa dobrym wyborem, gdy stan ma wiele powiązanych akcji i przejść.",,true,Reducer może uczynić logikę aktualizacji stanu bardziej przewidywalną.
react_tf_effect_deps_include_used_values,true_false,"Tablica zależności `useEffect` powinna uwzględniać wartości z zewnątrz efektu, których efekt używa.",,true,Brak zależności może prowadzić do pracy na starej wartości z poprzedniego renderu.
react_tf_state_setter_immediate_variable,true_false,Po wywołaniu settera z `useState` zmienna stanu w tym samym renderze natychmiast zmienia wartość.,,false,Setter planuje aktualizację. Aktualna zmienna stanu pozostaje wartością z bieżącego renderu.
react_tf_batching_updates,true_false,React może grupować kilka aktualizacji stanu w jeden render.,,true,Batching ogranicza liczbę renderów i poprawia wydajność.
react_tf_custom_hook_prefix,true_false,Nazwa własnego hooka powinna zaczynać się od `use`.,,true,Prefiks `use` pozwala narzędziom i regułom hooków rozpoznać własny hook.
react_tf_keys_available_as_props,true_false,Komponent dziecka może normalnie odczytać `key` przez `props.key`.,,false,`key` jest specjalnym polem używanym przez React i nie jest przekazywane jako zwykły props.
react_self_component_vs_element,self_assess,Wyjaśnij własnymi słowami różnicę między komponentem React a elementem React.,,,"Komponent to funkcja lub klasa opisująca część UI. Element React to konkretny obiekt utworzony np. przez JSX, taki jak `<UserCard name=""Ala"" />`."
react_self_props_vs_state,self_assess,Wyjaśnij różnicę między `props` a `state`.,,,`props` przychodzą z rodzica i są traktowane jako tylko do odczytu. `state` należy do komponentu i może być aktualizowany przez setter lub reducer.
react_self_controlled_input_flow,self_assess,Opisz przepływ danych w kontrolowanym inpucie React.,,,Wartość inputa pochodzi ze stanu przez `value`. Zdarzenie `onChange` odczytuje nową wartość i aktualizuje stan. Po aktualizacji komponent renderuje input z nową wartością.
react_self_list_key_purpose,self_assess,"Wyjaśnij, po co Reactowi `key` podczas renderowania list.",,,"`key` pomaga Reactowi dopasować elementy między renderami. Dzięki temu React wie, który element został dodany, usunięty albo przesunięty."
react_self_why_not_mutate_state,self_assess,"Wyjaśnij, dlaczego nie powinno się bezpośrednio mutować obiektów lub tablic w stanie.",,,React opiera aktualizacje na nowych referencjach. Bezpośrednia mutacja może nie zostać poprawnie wykryta i utrudnia przewidywanie działania UI.
react_self_useeffect_use_cases,self_assess,"Podaj typowe sytuacje, w których użyjesz `useEffect`.",,,"`useEffect()` służy głównie do synchronizacji komponentu z systemami zewnętrznymi, np. API przeglądarki, timerem, subskrypcją, localStorage albo requestem. Nie każda logika zależna od stanu wymaga efektu."
react_self_dependency_array,self_assess,"Wyjaśnij, do czego służy tablica zależności w `useEffect`.",,,"Tablica zależności mówi Reactowi, kiedy efekt powinien zostać uruchomiony ponownie. Efekt odpala się, gdy zmieni się jedna z podanych wartości."
react_self_effect_cleanup,self_assess,"Wyjaśnij, czym jest cleanup w `useEffect` i kiedy jest potrzebny.",,,"Cleanup to funkcja zwrócona z efektu. Służy do sprzątania, np. anulowania subskrypcji, czyszczenia timera lub odpinania event listenera."
react_self_lifting_state_up_example,self_assess,"Wyjaśnij na przykładzie, kiedy warto zastosować lifting state up.",,,"Gdy dwa komponenty potrzebują tych samych danych, stan warto przenieść do ich wspólnego rodzica i przekazać dane oraz callbacki przez propsy."
react_self_context_when_useful,self_assess,"Wyjaśnij, kiedy React Context jest lepszy niż przekazywanie propsów przez wiele poziomów.",,,"Context jest przydatny dla danych globalnych lub szeroko używanych, np. motywu, języka, informacji o użytkowniku albo ustawień aplikacji."
react_self_context_rerender_risk,self_assess,"Wyjaśnij, jaki problem wydajnościowy może pojawić się przy nieostrożnym użyciu Context.",,,"Gdy wartość providera często się zmienia, wszystkie komponenty czytające ten context mogą się ponownie renderować. Warto rozdzielać contexty lub stabilizować wartości."
react_self_useref_vs_usestate,self_assess,Wyjaśnij różnicę między `useRef` a `useState`.,,,`useState` przechowuje dane wpływające na render i jego zmiana powoduje rerender. `useRef` przechowuje mutowalną wartość bez automatycznego rerenderu.
react_self_usereducer_vs_usestate,self_assess,"Wyjaśnij, kiedy `useReducer` może być lepszy niż kilka osobnych `useState`.",,,"`useReducer` jest lepszy, gdy aktualizacje stanu mają wiele typów akcji, zależą od poprzedniego stanu albo logika zaczyna się rozrastać."
react_self_memo_when_useful,self_assess,"Wyjaśnij, kiedy `React.memo` ma sens, a kiedy może nic nie dać.",,,"`React.memo` ma sens przy komponentach renderowanych często z tymi samymi propsami. Może nic nie dać, gdy propsy za każdym razem mają nowe referencje albo render jest tani."
react_self_usememo_when_useful,self_assess,"Wyjaśnij, kiedy warto użyć `useMemo`.",,,`useMemo` warto rozważyć przy kosztownych obliczeniach albo gdy potrzebujesz stabilnej referencji wartości przekazywanej dalej. Nie należy używać go automatycznie wszędzie.
react_self_usecallback_when_useful,self_assess,"Wyjaśnij, kiedy warto użyć `useCallback`.",,,"`useCallback` jest przydatny, gdy przekazujesz funkcję do zoptymalizowanego komponentu dziecka albo używasz jej jako zależności innego hooka."
react_self_conditional_rendering_methods,self_assess,Wymień i krótko porównaj dwa sposoby warunkowego renderowania w JSX.,,,Najczęstsze sposoby to `condition && <Element />` dla renderowania tylko gdy warunek jest prawdziwy oraz `condition ? <A /> : <B />` dla wyboru jednej z dwóch gałęzi.
react_self_form_submit_flow,self_assess,Opisz podstawowy schemat obsługi formularza w React.,,,"Typowy schemat: trzymasz wartości pól w stanie, obsługujesz `onChange`, na `onSubmit` wywołujesz `preventDefault()`, walidujesz dane i wykonujesz akcję."
react_self_component_composition,self_assess,"Wyjaśnij, czym jest kompozycja komponentów w React.",,,"Kompozycja polega na budowaniu większego UI z mniejszych komponentów oraz przekazywaniu elementów przez propsy, szczególnie przez `children`."
react_self_presentational_container,self_assess,Wyjaśnij różnicę między komponentem prezentacyjnym a kontenerowym.,,,"Komponent prezentacyjny skupia się na wyglądzie i propsach. Kontenerowy częściej pobiera dane, trzyma stan i przekazuje logikę niżej."
react_self_custom_hook_purpose,self_assess,"Wyjaśnij, po co tworzy się własne hooki.",,,"Własne hooki pozwalają wynieść i ponownie wykorzystać logikę komponentów, np. pobieranie danych, obsługę formularza albo synchronizację z `localStorage`."
react_self_strict_mode_effects,self_assess,"Wyjaśnij, dlaczego w trybie deweloperskim efekt może uruchomić się więcej niż raz.",,,"React Strict Mode może celowo uruchamiać efekt dodatkowo, aby wykryć problemy z efektami ubocznymi i brakującym cleanupem."
react_self_error_boundary_purpose,self_assess,"Wyjaśnij, do czego służy error boundary.",,,Error boundary pozwala przechwycić błąd renderowania w części drzewa komponentów i pokazać awaryjny UI zamiast psuć całą aplikację.
react_self_lazy_suspense_purpose,self_assess,"Wyjaśnij, po co używa się `React.lazy` i `Suspense`.",,,"`React.lazy` pozwala ładować komponent dopiero wtedy, gdy jest potrzebny. `Suspense` pokazuje fallback podczas ładowania."
react_self_portal_modal_use_case,self_assess,"Wyjaśnij, dlaczego modal często renderuje się przez portal.",,,"Portal pozwala wyrenderować modal poza normalną hierarchią DOM komponentu, np. do `document.body`, co ułatwia obsługę warstw, overlayów i stylowania."
react_self_imperative_vs_declarative,self_assess,"Wyjaśnij, co znaczy, że React jest deklaratywny.",,,"Zamiast ręcznie opisywać kroki zmiany DOM, opisujesz jak UI ma wyglądać dla danego stanu. React zajmuje się aktualizacją widoku."
react_self_derived_state_problem,self_assess,"Wyjaśnij, dlaczego nie zawsze warto trzymać w stanie dane, które można obliczyć z innych danych.",,,"Zduplikowany stan może się rozjechać. Jeśli wartość da się obliczyć z propsów lub innego stanu podczas renderu, często lepiej jej nie zapisywać osobno."
react_self_prop_drilling,self_assess,"Wyjaśnij, czym jest prop drilling i jak można go ograniczyć.",,,"Prop drilling to przekazywanie propsów przez wiele pośrednich komponentów. Można go ograniczyć przez kompozycję, Context albo lepszy podział komponentów."
react_self_stale_closure,self_assess,"Wyjaśnij, czym może być problem starej wartości w closure przy hookach.",,,"Funkcja może pamiętać wartości z renderu, w którym została utworzona. Przy efektach i callbackach trzeba uważać na zależności albo użyć aktualizacji funkcyjnej."
react_self_render_performance_basics,self_assess,Wymień podstawowe sposoby ograniczania zbędnych renderów w React.,,,"Najpierw popraw strukturę stanu i propsów. Potem rozważ `React.memo`, stabilne referencje przez `useMemo`/`useCallback`, podział komponentów i unikanie niepotrzebnych zmian contextu."
react_more_hook_useid,traditional,Jakiego hooka użyjesz do wygenerowania stabilnego identyfikatora np. dla pary `<label>` i `<input>`?,useId(),,"`useId()` tworzy stabilne ID przydatne m.in. w atrybutach dostępnościowych, takich jak `id` i `htmlFor`."
react_more_hook_usetransition,traditional,"Jaki hook zwraca parę `[isPending, startTransition]` do oznaczania mniej pilnych aktualizacji?",useTransition(),,"`useTransition()` pozwala oznaczyć część aktualizacji jako przejście, dzięki czemu pilniejsze interakcje mogą pozostać responsywne."
react_more_function_starttransition,traditional,"Jakiej funkcji React użyjesz, aby oznaczyć aktualizację stanu jako transition poza hookiem `useTransition`?",startTransition(),,"`startTransition()` opakowuje mniej pilne aktualizacje, np. filtrowanie dużej listy po wpisaniu tekstu."
react_more_hook_usedeferredvalue,traditional,"Jakiego hooka użyjesz, aby opóźnić aktualizację wartości używanej w ciężkim renderowaniu?",useDeferredValue(),,"`useDeferredValue()` pozwala używać nieco opóźnionej wersji wartości, gdy pełne odświeżenie UI jest kosztowne."
react_more_hook_usesyncexternalstore,traditional,Jaki hook służy do bezpiecznego podłączania komponentu do zewnętrznego store'a?,useSyncExternalStore(),,"`useSyncExternalStore()` jest przeznaczony dla bibliotek i kodu, który synchronizuje React z zewnętrznym źródłem danych."
react_more_hook_uselayouteffect,traditional,"Jaki hook działa podobnie do `useEffect`, ale uruchamia się synchronicznie po zmianach DOM przed odmalowaniem ekranu?",useLayoutEffect(),,"`useLayoutEffect()` bywa używany do pomiarów layoutu, gdy wynik musi być użyty przed pokazaniem zmian użytkownikowi."
react_more_hook_useimperativehandle,traditional,Jakiego hooka używa się do kontrolowania wartości lub metod wystawianych przez ref komponentu?,useImperativeHandle(),,`useImperativeHandle()` pozwala ograniczyć i zaprojektować imperatywne API dostępne przez ref.
react_more_create_context,traditional,Jakiej funkcji React użyjesz do utworzenia nowego kontekstu?,createContext(),,"`createContext()` tworzy obiekt kontekstu, którego wartość może być przekazywana niżej w drzewie komponentów."
react_more_input_default_value,traditional,Który props ustawia początkową wartość niekontrolowanego inputa?,defaultValue,,"`defaultValue` ustawia wartość początkową pola, ale późniejsza bieżąca wartość pozostaje zarządzana przez DOM."
react_more_checkbox_default_checked,traditional,Który props ustawia początkowe zaznaczenie niekontrolowanego checkboxa?,defaultChecked,,"`defaultChecked` działa dla niekontrolowanego checkboxa jako wartość startowa, a nie jako stale kontrolowany stan."
react_more_form_submit_prop,traditional,Jaki props formularza React obsługuje wysłanie formularza?,onSubmit,,`onSubmit` obsługuje zdarzenie wysłania formularza i często jest miejscem walidacji oraz zebrania danych.
react_more_input_blur_prop,traditional,Jaki props JSX obsługuje utratę fokusu przez pole formularza?,onBlur,,"`onBlur` uruchamia handler, gdy element traci fokus, np. po przejściu użytkownika do kolejnego pola."
react_more_event_target_value,traditional,Z jakiej właściwości eventu najczęściej odczytasz tekst wpisany w input?,event.target.value,,W handlerze `onChange` dla tekstowego inputa bieżąca wartość zwykle znajduje się w `event.target.value`.
react_more_event_target_checked,traditional,Z jakiej właściwości eventu najczęściej odczytasz stan checkboxa?,event.target.checked,,"Dla checkboxa właściwość `checked` mówi, czy pole jest aktualnie zaznaczone."
react_more_inline_style_prop,traditional,Który props JSX służy do przekazania stylów inline jako obiektu JavaScript?,style,,"W React `style` przyjmuje obiekt, np. `style={{ marginTop: 8 }}`, a nie zwykły tekst CSS."
react_more_style_background_color,traditional,Jak zapiszesz właściwość CSS `background-color` w obiekcie stylów React?,backgroundColor,,"W obiekcie `style` nazwy właściwości CSS zapisuje się zwykle camelCase, np. `backgroundColor`."
react_more_component_return_nothing,traditional,"Co powinien zwrócić komponent React, jeśli nie ma nic renderować?",null,,"Zwrócenie `null` oznacza, że komponent nie renderuje żadnego elementu w tym miejscu drzewa."
react_more_class_lifecycle_mount,traditional,Jaka metoda klasy React uruchamia się po pierwszym zamontowaniu komponentu?,componentDidMount(),,`componentDidMount()` jest klasycznym miejscem na kod wykonywany po pierwszym pojawieniu się komponentu w DOM.
react_more_class_lifecycle_update,traditional,Jaka metoda klasy React uruchamia się po aktualizacji komponentu?,componentDidUpdate(),,`componentDidUpdate()` działa po zmianie propsów lub stanu i po ponownym renderze komponentu klasowego.
react_more_class_lifecycle_unmount,traditional,Jaka metoda klasy React uruchamia się tuż przed odmontowaniem komponentu?,componentWillUnmount(),,"`componentWillUnmount()` służy do cleanupu w komponentach klasowych, np. usunięcia subskrypcji."
react_more_class_render_method,traditional,"Jak nazywa się metoda klasy React, która zwraca JSX do wyrenderowania?",render(),,"W komponencie klasowym metoda `render()` opisuje, co komponent ma pokazać."
react_more_class_set_state,traditional,Jakiej metody używa komponent klasowy do aktualizacji własnego stanu?,setState(),,`setState()` aktualizuje stan komponentu klasowego i planuje ponowny render.
react_more_class_props_access,traditional,Jak w komponencie klasowym najczęściej odczytasz propsy?,this.props,,"W klasie propsy są dostępne przez `this.props`, np. `this.props.title`."
react_more_class_state_access,traditional,Jak w komponencie klasowym najczęściej odczytasz stan?,this.state,,"W klasie stan jest przechowywany w `this.state`, np. `this.state.count`."
react_more_should_component_update,traditional,"Jaka metoda klasy może zdecydować, czy komponent powinien się ponownie renderować?",shouldComponentUpdate(),,"`shouldComponentUpdate()` pozwala zwrócić `false`, aby pominąć render w określonych przypadkach."
react_more_pure_component,traditional,"Jak nazywa się klasa React, która wykonuje płytkie porównanie propsów i stanu?",PureComponent,,`PureComponent` automatycznie wykonuje płytkie porównanie i może ograniczać zbędne rendery komponentów klasowych.
react_more_create_ref,traditional,Jakiej funkcji React używa się często do tworzenia refa w komponencie klasowym?,createRef(),,"`createRef()` tworzy obiekt ref, który można przypiąć do elementu lub komponentu."
react_more_profiler_component,traditional,Jaki komponent React służy do mierzenia kosztu renderowania części drzewa komponentów?,<Profiler>,,`<Profiler>` pozwala zebrać informacje o czasie renderowania wskazanego fragmentu aplikacji.
react_more_profiler_onrender,traditional,Jaki props komponentu `<Profiler>` przyjmuje callback z danymi o renderowaniu?,onRender,,"Callback przekazany do `onRender` dostaje informacje o renderze, m.in. identyfikator i czasy."
react_more_hydrate_root,traditional,Jakiej funkcji z `react-dom/client` używa się do hydratacji HTML wyrenderowanego na serwerze?,hydrateRoot(),,"`hydrateRoot()` podłącza React do istniejącego HTML, zamiast tworzyć całą strukturę od zera po stronie klienta."
react_more_tf_default_value_uncontrolled,true_false,"`defaultValue` ustawia wartość początkową pola niekontrolowanego, a nie wymusza bieżącej wartości po każdym renderze.",,true,"Dla pola niekontrolowanego React ustawia wartość startową, a później bieżącą wartość przechowuje DOM."
react_more_tf_value_controlled,true_false,Input z propsami `value` i `onChange` jest typowym inputem kontrolowanym.,,true,"W kontrolowanym inpucie Reactowy stan jest źródłem prawdy, a `onChange` aktualizuje ten stan."
react_more_tf_use_state_object_merge,true_false,Setter z `useState` automatycznie scala obiekt z poprzednim stanem tak jak klasowe `setState`.,,false,"Setter z `useState` zastępuje wartość stanu. Przy obiektach trzeba samodzielnie skopiować poprzednie pola, np. przez spread."
react_more_tf_class_setstate_shallow_merge,true_false,Klasowe `setState` z obiektem wykonuje płytkie scalenie z poprzednim stanem.,,true,W komponentach klasowych `setState({ name: 'Ala' })` scala podany obiekt z istniejącym stanem na pierwszym poziomie.
react_more_tf_inline_style_object,true_false,"W React props `style` przyjmuje obiekt JavaScript, a nie zwykły string CSS.",,true,Przykład poprawnego zapisu to `style={{ color: 'red' }}`.
react_more_tf_inline_style_kebab,true_false,"W obiekcie `style` właściwości CSS zapisuje się zwykle kebab-case, np. `background-color`.",,false,"W obiekcie stylów używa się zwykle camelCase, np. `backgroundColor`."
react_more_tf_numeric_style_px,true_false,"Dla wielu właściwości stylów liczba w obiekcie `style`, np. `{ marginTop: 8 }`, jest interpretowana jako piksele.",,true,"React dodaje `px` dla wielu właściwości liczbowych, choć istnieją właściwości bezjednostkowe."
react_more_tf_component_can_return_null,true_false,"Komponent React może zwrócić `null`, aby nic nie wyrenderować.",,true,"`null` jest poprawnym wynikiem renderowania, gdy komponent ma nie pokazać żadnego elementu."
react_more_tf_component_can_return_array,true_false,"Komponent React może zwrócić tablicę elementów, o ile elementy listy mają sensowne `key`.",,true,React potrafi renderować tablice elementów. Przy listach nadal potrzebne są stabilne klucze.
